Age group;Week 2020-53;Week 2020-52;Week 2020-51;Week 2020-50;Week 2020-49;Week 2020-48;Week 2020-47;Week 2020-46;Week 2020-45;Week 2020-44;Week 2020-43;Week 2020-42;Week 2020-41;Week 2020-40;Week 2020-39;Week 2020-38;Week 2020-37;Week 2020-36;Week 2020-35;Week 2020-34;Week 2020-33;Week 2020-32;Week 2020-31;Week 2020-30;Week 2020-29;Week 2020-28;Week 2020-27;Week 2020-26;Week 2020-25;Week 2020-24;Week 2020-23;Week 2020-22;Week 2020-21;Week 2020-20;Week 2020-19;Week 2020-18;Week 2020-17;Week 2020-16;Week 2020-15;Week 2020-14;Week 2020-13;Week 2020-12;Week 2020-11;Week 2020-10;Week 2020-09;Week 2021-09;Week 2021-08;Week 2020-08;Week 2021-07;Week 2020-07;Week 2021-06;Week 2021-05;Week 2020-05;Week 2021-04;Week 2021-03;Week 2021-02;Week 2021-01
0-4;2321;5375;8585;6216;4612;4776;5242;5558;5805;5406;3433;2613;3620;3741;4628;4977;5284;4826;5847;6074;4476;2854;1721;1574;1986;2335;3141;4877;5785;4829;2614;2430;2110;2227;1975;2518;2241;822;716;521;257;337;210;41;11;635;2467;NA;2020;NA;1842;1865;NA;2129;2494;2379;2452
5-9;2763;7080;13010;10156;7964;8436;9387;9057;9054;8259;4594;3144;5163;4937;6136;6821;8385;8158;9939;9218;4563;2422;1608;1267;1557;1553;2318;4462;4738;3195;1508;1505;1352;1709;1680;2569;2022;658;443;258;48;41;107;38;28;684;3280;NA;2920;NA;2392;2128;NA;1837;2040;2146;2357
10-14;2761;5504;10442;10544;9402;9962;11653;12185;11978;11599;6647;4040;7318;8200;11255;14800;17098;14914;14119;13074;6502;4281;3251;2781;2592;2053;2364;3768;3902;2810;1536;2025;1500;2091;1915;2719;1884;515;374;288;68;42;117;54;50;486;2849;NA;2191;NA;2123;1581;NA;1506;1776;1794;2189
15-19;4119;5351;10153;11146;9534;8454;9308;9417;9831;11447;8999;5460;8410;10088;14874;17952;17774;13818;13277;13186;9969;9256;5805;4956;4663;3877;3931;3401;3881;3200;2470;2948;3293;2552;2423;2665;2094;825;742;548;150;91;208;49;39;391;2654;NA;1689;NA;1601;1514;NA;1683;1985;2248;3779
20-24;5529;7162;14794;12156;8171;6810;7331;7975;8544;9945;8531;6079;8520;9845;13474;13996;13442;11378;10024;11658;12084;9072;6771;5944;5798;5310;5508;5463;6108;5373;3569;5187;7947;3628;4031;4429;3280;1065;1215;927;276;155;306;46;25;486;2414;1;1977;NA;2087;2321;NA;2669;3105;3063;4575
25-29;5868;7238;13402;11071;7616;7251;7729;8739;8821;9775;8396;6315;8088;9294;12031;13470;13545;11206;10791;11146;11911;9209;7220;6537;6228;5967;6216;6807;7181;6567;4274;5030;5809;4961;5080;5785;4593;1536;1758;1587;462;382;286;54;18;591;2926;2;2433;NA;2702;3037;NA;3492;3961;3741;4969
30-34;4700;6038;10416;8628;6877;6984;7391;8058;8184;8659;7478;5630;7105;8045;10073;11348;11539;9844;9851;10258;10150;7719;5983;5171;5582;5383;5414;6550;7269;6039;4300;5033;4462;4926;5224;6430;5042;1741;1741;1894;644;465;334;55;12;579;3005;2;2601;NA;2606;3011;NA;3407;4220;3900;4366
35-39;3892;5427;9185;7756;6310;6526;7272;7810;8066;8198;6658;4713;6379;6957;8582;9842;10346;8956;8699;9079;8502;6422;5151;4316;4199;4290;4374;5437;5884;5004;3492;4145;3727;4571;4811;6146;5033;1759;1874;2057;602;456;340;50;14;579;2735;1;2349;NA;2410;2762;NA;3046;4144;3786;3822
40-44;3851;6044;9901;8651;7146;7537;8300;8902;8976;9269;7082;4992;7256;7739;9544;10830;11819;9667;9444;9752;8798;7105;5719;4445;4218;4022;4335;5039;5336;4475;3383;4153;3890;5063;5355;7115;5792;2091;2107;2410;714;578;430;68;28;573;2933;NA;2447;1;2655;2876;NA;3566;4910;4162;4130
45-49;4788;7109;11455;9745;8129;8308;9011;9854;9773;10139;8135;5624;7882;8566;10782;12347;12654;9823;9590;10028;9531;7841;6583;5166;4616;4329;4517;4837;5010;4202;3458;4722;4016;5191;5831;7561;6100;2029;2147;2494;749;528;427;83;30;654;3303;NA;2813;NA;2974;3573;NA;4134;5849;5419;4825
50-54;5422;7486;11770;9452;7869;8292;8876;9687;9626;9392;8063;5745;7845;8474;10505;11828;11589;8722;8648;9086;9574;7980;6703;5222;4695;4405;4612;4770;4759;4158;3746;4959;4490;5346;6068;7748;6144;2022;2351;2430;756;508;335;61;27;707;3329;NA;2975;NA;2963;3776;NA;4714;6959;6076;5476
55-59;5419;7196;11087;8763;7392;8091;8662;9708;9012;8603;7513;5388;7006;8007;9743;10455;10179;7446;7448;7649;8506;7125;5689;4621;4287;4162;4317;4637;4630;4091;3776;4950;4383;5543;6230;7915;6279;1981;2136;2558;756;496;296;62;9;734;3510;NA;3187;NA;3158;4060;NA;5085;7582;6892;5609
60-64;4585;5669;8748;6992;6150;7069;7665;8581;7735;6959;6117;4449;5764;6494;7562;7951;7911;6142;5865;6136;6979;5597;4689;3773;3644;3532;3835;3985;4091;3876;3476;4597;3847;4883;5444;6694;5165;1795;1861;2060;704;484;238;34;7;744;3250;1;2582;NA;2745;3291;NA;4312;6280;5724;4924
65-69;3888;4818;7554;5690;5231;6388;6899;7585;6164;5650;4857;3513;4557;5071;5838;6299;6131;4705;4815;5069;6111;4907;4325;3376;3413;3474;3461;3828;3562;3390;3275;4584;2990;3341;3503;4196;3265;1205;1266;1275;492;392;219;12;5;865;3447;NA;2465;NA;2387;2625;1;3318;4156;3962;3925
