sogn_code;sogn_name_full;pop_2020;n_tested;test_inc_cum;n_cases;inc_cum;n_cases_7days;inc_7days;n_tested_7days;tested_inc_7days;n_vaccines_started;n_vaccines_done;n_vaccines_started_7days;n_vaccines_done_7days;pct_vaccines_started;pct_vaccines_done;pct_vaccines_started_7days;pct_vaccines_done_7days
0000;Without placeable address;2;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7001;Vor Frue (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7002;Helligånds (København Municipality);5412;4239;78325,94235033260;318;5875,831485587583;3;55,43237250554323;32;591,2786400591278;235;87;90;1;4,342202512934220;1,607538802660754;1,662971175166297;0,01847745750184775
7003;Trinitatis (København Municipality);3776;2998;79396,18644067796;192;5084,745762711865;4;105,93220338983051;25;662,0762711864406;157;66;53;2;4,157838983050848;1,747881355932203;1,403601694915254;0,05296610169491525
7004;Sankt Andreas (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7007;Sankt Johannes (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7008;Simeons (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7011;Bethlehem (København Municipality);2821;2249;79723,50230414746;199;7054,236086494150;3;106,34526763559022;17;602,6231832683445;173;68;65;2;6,132577100319036;2,410492733073378;2,304147465437788;0,07089684509039348
7015;Maria (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7016;Elias (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7017;Apostelkirkens (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7018;Gethsemane (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7019;Sankt Matthæus (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7020;Absalons (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
7021;Kristkirkens (København Municipality);0;0;0,00000000000;0;0,000000000000;0;0,00000000000000;0;0,0000000000000;0;0;0;0;0,000000000000000;0,000000000000000;0,000000000000000;0,00000000000000000
