Aldersgruppe;positive;Antal_testede;Date;weekly_diff_pos
0-9;   12;    554;2020-03-18;   0
10-19;   33;    577;2020-03-18;   0
20-29;  146;    923;2020-03-18;   0
30-39;  156;   1064;2020-03-18;   0
40-49;  305;   1362;2020-03-18;   0
50-59;  200;   1059;2020-03-18;   0
60-69;   90;    752;2020-03-18;   0
70-79;   55;    714;2020-03-18;   0
80-89;   38;    505;2020-03-18;   0
90+;    9;    121;2020-03-18;   0
I alt; 1044;   7631;2020-03-18;   0
0-9;   13;    889;2020-03-25;   1
10-19;   40;    721;2020-03-25;   7
20-29;  179;   1501;2020-03-25;  33
30-39;  211;   2119;2020-03-25;  55
40-49;  420;   2585;2020-03-25; 115
50-59;  309;   2172;2020-03-25; 109
60-69;  204;   1721;2020-03-25; 114
70-79;  192;   1697;2020-03-25; 137
80-89;  124;   1161;2020-03-25;  86
90+;   23;    304;2020-03-25;  14
I alt; 1715;  14870;2020-03-25; 671
0-9;   21;   1287;2020-04-01;   8
10-19;   48;   1002;2020-04-01;   8
20-29;  276;   2568;2020-04-01;  97
30-39;  355;   3903;2020-04-01; 144
40-49;  660;   4744;2020-04-01; 240
50-59;  599;   4324;2020-04-01; 290
60-69;  408;   3263;2020-04-01; 204
70-79;  409;   3025;2020-04-01; 217
80-89;  260;   2088;2020-04-01; 136
90+;   56;    572;2020-04-01;  33
I alt; 3092;  26776;2020-04-01;1377
0-9;   47;   2302;2020-04-08;  26
10-19;  114;   2156;2020-04-08;  66
20-29;  582;   5875;2020-04-08; 306
30-39;  708;   8643;2020-04-08; 353
40-49; 1062;  10683;2020-04-08; 402
50-59; 1073;  10491;2020-04-08; 474
60-69;  711;   7409;2020-04-08; 303
70-79;  586;   5473;2020-04-08; 177
80-89;  395;   3465;2020-04-08; 135
90+;  108;   1038;2020-04-08;  52
I alt; 5386;  57535;2020-04-08;2294
0-9;   72;   3454;2020-04-15;  25
10-19;  172;   3187;2020-04-15;  58
20-29;  796;   8475;2020-04-15; 214
30-39;  898;  11704;2020-04-15; 190
40-49; 1277;  14166;2020-04-15; 215
50-59; 1317;  14008;2020-04-15; 244
60-69;  853;   9768;2020-04-15; 142
70-79;  674;   7146;2020-04-15;  88
80-89;  482;   4447;2020-04-15;  87
90+;  140;   1357;2020-04-15;  32
I alt; 6681;  77712;2020-04-15;1295
0-9;   89;   5439;2020-04-22;  17
10-19;  234;   5087;2020-04-22;  62
20-29;  986;  11933;2020-04-22; 190
30-39; 1075;  16244;2020-04-22; 177
40-49; 1488;  19600;2020-04-22; 211
50-59; 1537;  19386;2020-04-22; 220
60-69;  998;  13588;2020-04-22; 145
70-79;  751;   9562;2020-04-22;  77
80-89;  577;   5856;2020-04-22;  95
90+;  177;   1770;2020-04-22;  37
I alt; 7912; 108465;2020-04-22;1231
0-9;  120;   9960;2020-04-29;  31
10-19;  313;   9409;2020-04-29;  79
20-29; 1160;  20100;2020-04-29; 174
30-39; 1230;  26795;2020-04-29; 155
40-49; 1673;  31753;2020-04-29; 185
50-59; 1694;  32341;2020-04-29; 157
60-69; 1106;  22693;2020-04-29; 108
70-79;  833;  15391;2020-04-29;  82
80-89;  666;   9008;2020-04-29;  89
90+;  213;   2612;2020-04-29;  36
I alt; 9008; 180062;2020-04-29;1096
0-9;  177;  15035;2020-05-06;  57
10-19;  389;  14952;2020-05-06;  76
20-29; 1328;  31469;2020-05-06; 168
30-39; 1388;  40328;2020-05-06; 158
40-49; 1791;  47630;2020-05-06; 118
50-59; 1850;  49267;2020-05-06; 156
60-69; 1191;  34031;2020-05-06;  85
70-79;  884;  22157;2020-05-06;  51
80-89;  711;  12282;2020-05-06;  45
90+;  229;   3529;2020-05-06;  16
I alt; 9938; 270680;2020-05-06; 930
0-9;  217;  18869;2020-05-13;  40
10-19;  454;  19856;2020-05-13;  65
20-29; 1443;  41625;2020-05-13; 115
30-39; 1495;  51389;2020-05-13; 107
40-49; 1918;  59998;2020-05-13; 127
50-59; 1976;  62548;2020-05-13; 126
60-69; 1257;  43691;2020-05-13;  66
70-79;  927;  28202;2020-05-13;  43
80-89;  743;  15208;2020-05-13;  32
90+;  237;   4326;2020-05-13;   8
I alt;10667; 345712;2020-05-13; 729
0-9;  248;  22978;2020-05-20;  31
10-19;  492;  24710;2020-05-20;  38
20-29; 1517;  50920;2020-05-20;  74
30-39; 1589;  61161;2020-05-20;  94
40-49; 1975;  70240;2020-05-20;  57
50-59; 2036;  73396;2020-05-20;  60
