Aldersgruppe;Date;Variable;Total;Weekly_diff
0-9;2020-03-18;positive;    12;    0
0-9;2020-03-18;testede;   554;    0
10-19;2020-03-18;positive;    33;    0
10-19;2020-03-18;testede;   577;    0
20-29;2020-03-18;positive;   146;    0
20-29;2020-03-18;testede;   923;    0
30-39;2020-03-18;positive;   156;    0
30-39;2020-03-18;testede;  1064;    0
40-49;2020-03-18;positive;   305;    0
40-49;2020-03-18;testede;  1362;    0
50-59;2020-03-18;positive;   200;    0
50-59;2020-03-18;testede;  1059;    0
60-69;2020-03-18;positive;    90;    0
60-69;2020-03-18;testede;   752;    0
70-79;2020-03-18;positive;    55;    0
70-79;2020-03-18;testede;   714;    0
80-89;2020-03-18;positive;    38;    0
80-89;2020-03-18;testede;   505;    0
90+;2020-03-18;positive;     9;    0
90+;2020-03-18;testede;   121;    0
0-9;2020-03-25;positive;    13;    1
0-9;2020-03-25;testede;   889;  335
10-19;2020-03-25;positive;    40;    7
10-19;2020-03-25;testede;   721;  144
20-29;2020-03-25;positive;   179;   33
20-29;2020-03-25;testede;  1501;  578
30-39;2020-03-25;positive;   211;   55
30-39;2020-03-25;testede;  2119; 1055
40-49;2020-03-25;positive;   420;  115
40-49;2020-03-25;testede;  2585; 1223
50-59;2020-03-25;positive;   309;  109
50-59;2020-03-25;testede;  2172; 1113
60-69;2020-03-25;positive;   204;  114
60-69;2020-03-25;testede;  1721;  969
70-79;2020-03-25;positive;   192;  137
70-79;2020-03-25;testede;  1697;  983
80-89;2020-03-25;positive;   124;   86
80-89;2020-03-25;testede;  1161;  656
90+;2020-03-25;positive;    23;   14
90+;2020-03-25;testede;   304;  183
0-9;2020-04-01;positive;    21;    8
0-9;2020-04-01;testede;  1287;  398
10-19;2020-04-01;positive;    48;    8
10-19;2020-04-01;testede;  1002;  281
20-29;2020-04-01;positive;   276;   97
20-29;2020-04-01;testede;  2568; 1067
30-39;2020-04-01;positive;   355;  144
30-39;2020-04-01;testede;  3903; 1784
40-49;2020-04-01;positive;   660;  240
40-49;2020-04-01;testede;  4744; 2159
50-59;2020-04-01;positive;   599;  290
50-59;2020-04-01;testede;  4324; 2152
60-69;2020-04-01;positive;   408;  204
60-69;2020-04-01;testede;  3263; 1542
70-79;2020-04-01;positive;   409;  217
70-79;2020-04-01;testede;  3025; 1328
80-89;2020-04-01;positive;   260;  136
80-89;2020-04-01;testede;  2088;  927
90+;2020-04-01;positive;    56;   33
90+;2020-04-01;testede;   572;  268
0-9;2020-04-08;positive;    47;   26
0-9;2020-04-08;testede;  2302; 1015
10-19;2020-04-08;positive;   114;   66
10-19;2020-04-08;testede;  2156; 1154
20-29;2020-04-08;positive;   582;  306
20-29;2020-04-08;testede;  5875; 3307
30-39;2020-04-08;positive;   708;  353
30-39;2020-04-08;testede;  8643; 4740
40-49;2020-04-08;positive;  1062;  402
40-49;2020-04-08;testede; 10683; 5939
50-59;2020-04-08;positive;  1073;  474
50-59;2020-04-08;testede; 10491; 6167
60-69;2020-04-08;positive;   711;  303
60-69;2020-04-08;testede;  7409; 4146
70-79;2020-04-08;positive;   586;  177
70-79;2020-04-08;testede;  5473; 2448
80-89;2020-04-08;positive;   395;  135
80-89;2020-04-08;testede;  3465; 1377
90+;2020-04-08;positive;   108;   52
90+;2020-04-08;testede;  1038;  466
0-9;2020-04-15;positive;    72;   25
0-9;2020-04-15;testede;  3454; 1152
10-19;2020-04-15;positive;   172;   58
10-19;2020-04-15;testede;  3187; 1031
20-29;2020-04-15;positive;   796;  214
20-29;2020-04-15;testede;  8475; 2600
30-39;2020-04-15;positive;   898;  190
30-39;2020-04-15;testede; 11704; 3061
40-49;2020-04-15;positive;  1277;  215
40-49;2020-04-15;testede; 14166; 3483
50-59;2020-04-15;positive;  1317;  244
50-59;2020-04-15;testede; 14008; 3517
60-69;2020-04-15;positive;   853;  142
60-69;2020-04-15;testede;  9768; 2359
70-79;2020-04-15;positive;   674;   88
70-79;2020-04-15;testede;  7146; 1673
80-89;2020-04-15;positive;   482;   87
80-89;2020-04-15;testede;  4447;  982
90+;2020-04-15;positive;   140;   32
90+;2020-04-15;testede;  1357;  319
0-9;2020-04-22;positive;    89;   17
0-9;2020-04-22;testede;  5439; 1985
10-19;2020-04-22;positive;   234;   62
10-19;2020-04-22;testede;  5087; 1900
20-29;2020-04-22;positive;   986;  190
20-29;2020-04-22;testede; 11933; 3458
30-39;2020-04-22;positive;  1075;  177
30-39;2020-04-22;testede; 16244; 4540
40-49;2020-04-22;positive;  1488;  211
40-49;2020-04-22;testede; 19600; 5434
