"Week";"Region";"yes";"total";"percent"
"2020-W39";"Whole Denmark";0;836;0
"2020-W40";"Whole Denmark";0;409;0
"2020-W41";"Whole Denmark";0;410;0
"2020-W42";"Whole Denmark";0;1083;0
"2020-W43";"Whole Denmark";0;426;0
"2020-W44";"Whole Denmark";0;1349;0
"2020-W45";"Whole Denmark";0;1582;0
"2020-W46";"Whole Denmark";4;1405;0,3
"2020-W47";"Whole Denmark";0;1556;0
"2020-W48";"Whole Denmark";3;1535;0,2
"2020-W49";"Whole Denmark";3;1748;0,2
"2020-W50";"Whole Denmark";10;2258;0,4
"2020-W51";"Whole Denmark";23;2762;0,8
"2020-W52";"Whole Denmark";55;2699;2
"2020-W53";"Whole Denmark";52;2166;2,4
"2021-W01";"Whole Denmark";42;1176;3,6
"2020-W39";"Hovedstaden";0;305;0
"2020-W40";"Hovedstaden";0;116;0
"2020-W41";"Hovedstaden";0;176;0
"2020-W42";"Hovedstaden";0;444;0
"2020-W43";"Hovedstaden";0;153;0
"2020-W44";"Hovedstaden";0;549;0
"2020-W45";"Hovedstaden";0;656;0
"2020-W46";"Hovedstaden";4;420;1
"2020-W47";"Hovedstaden";0;588;0
"2020-W48";"Hovedstaden";3;688;0,4
"2020-W49";"Hovedstaden";0;863;0
"2020-W50";"Hovedstaden";2;1046;0,2
"2020-W51";"Hovedstaden";4;1063;0,4
"2020-W52";"Hovedstaden";13;1214;1,1
"2020-W53";"Hovedstaden";11;1025;1,1
"2021-W01";"Hovedstaden";13;548;2,4
"2020-W39";"Midtjylland";0;99;0
"2020-W40";"Midtjylland";0;82;0
"2020-W41";"Midtjylland";0;110;0
"2020-W42";"Midtjylland";0;208;0
"2020-W43";"Midtjylland";0;64;0
"2020-W44";"Midtjylland";0;206;0
"2020-W45";"Midtjylland";0;293;0
"2020-W46";"Midtjylland";0;357;0
"2020-W47";"Midtjylland";0;318;0
"2020-W48";"Midtjylland";0;317;0
"2020-W49";"Midtjylland";0;332;0
"2020-W50";"Midtjylland";0;363;0
"2020-W51";"Midtjylland";0;564;0
"2020-W52";"Midtjylland";6;311;1,9
"2020-W53";"Midtjylland";13;304;4,3
"2021-W01";"Midtjylland";7;138;5,1
"2020-W39";"Nordjylland";0;107;0
"2020-W40";"Nordjylland";0;56;0
"2020-W41";"Nordjylland";0;50;0
"2020-W42";"Nordjylland";0;182;0
"2020-W43";"Nordjylland";0;128;0
"2020-W44";"Nordjylland";0;287;0
"2020-W45";"Nordjylland";0;246;0
"2020-W46";"Nordjylland";0;318;0
"2020-W47";"Nordjylland";0;244;0
"2020-W48";"Nordjylland";0;169;0
"2020-W49";"Nordjylland";3;64;4,7
"2020-W50";"Nordjylland";7;97;7,2
"2020-W51";"Nordjylland";9;293;3,1
"2020-W52";"Nordjylland";18;348;5,2
"2020-W53";"Nordjylland";7;203;3,4
"2021-W01";"Nordjylland";1;93;1,1
"2020-W39";"SjÃ¦lland";0;110;0
"2020-W40";"SjÃ¦lland";0;66;0
"2020-W41";"SjÃ¦lland";0;26;0
"2020-W42";"SjÃ¦lland";0;93;0
"2020-W43";"SjÃ¦lland";0;37;0
"2020-W44";"SjÃ¦lland";0;131;0
"2020-W45";"SjÃ¦lland";0;186;0
"2020-W46";"SjÃ¦lland";0;136;0
"2020-W47";"SjÃ¦lland";0;144;0
"2020-W48";"SjÃ¦lland";0;165;0
"2020-W49";"SjÃ¦lland";0;262;0
"2020-W50";"SjÃ¦lland";0;222;0
"2020-W51";"SjÃ¦lland";3;372;0,8
"2020-W52";"SjÃ¦lland";11;304;3,6
"2020-W53";"SjÃ¦lland";3;324;0,9
"2021-W01";"SjÃ¦lland";6;231;2,6
"2020-W39";"Syddanmark";0;215;0
"2020-W40";"Syddanmark";0;89;0
"2020-W41";"Syddanmark";0;48;0
"2020-W42";"Syddanmark";0;156;0
"2020-W43";"Syddanmark";0;44;0
"2020-W44";"Syddanmark";0;176;0
"2020-W45";"Syddanmark";0;201;0
"2020-W46";"Syddanmark";0;174;0
"2020-W47";"Syddanmark";0;262;0
"2020-W48";"Syddanmark";0;196;0
"2020-W49";"Syddanmark";0;227;0
"2020-W50";"Syddanmark";1;530;0,2
"2020-W51";"Syddanmark";7;470;1,5
"2020-W52";"Syddanmark";7;522;1,3
"2020-W53";"Syddanmark";18;310;5,8
"2021-W01";"Syddanmark";15;166;9
