Aldersgruppe;positive;Antal_testede;Date
0-9;12;554;2020-03-18
10-19;33;577;2020-03-18
20-29;146;923;2020-03-18
30-39;156;1064;2020-03-18
40-49;305;1362;2020-03-18
50-59;200;1059;2020-03-18
60-69;90;752;2020-03-18
70-79;55;714;2020-03-18
80-89;38;505;2020-03-18
90+;9;121;2020-03-18
I alt;1044;7631;2020-03-18
0-9;13;889;2020-03-25
10-19;40;721;2020-03-25
20-29;179;1501;2020-03-25
30-39;211;2119;2020-03-25
40-49;420;2585;2020-03-25
50-59;309;2172;2020-03-25
60-69;204;1721;2020-03-25
70-79;192;1697;2020-03-25
80-89;124;1161;2020-03-25
90+;23;304;2020-03-25
I alt;1715;14870;2020-03-25
0-9;21;1287;2020-04-01
10-19;48;1002;2020-04-01
20-29;276;2568;2020-04-01
30-39;355;3903;2020-04-01
40-49;660;4744;2020-04-01
50-59;599;4324;2020-04-01
60-69;408;3263;2020-04-01
70-79;409;3025;2020-04-01
80-89;260;2088;2020-04-01
90+;56;572;2020-04-01
I alt;3092;26776;2020-04-01
0-9;47;2302;2020-04-08
10-19;114;2156;2020-04-08
20-29;582;5875;2020-04-08
30-39;708;8643;2020-04-08
40-49;1062;10683;2020-04-08
50-59;1073;10491;2020-04-08
60-69;711;7409;2020-04-08
70-79;586;5473;2020-04-08
80-89;395;3465;2020-04-08
90+;108;1038;2020-04-08
I alt;5386;57535;2020-04-08
0-9;72;3454;2020-04-15
10-19;172;3187;2020-04-15
20-29;796;8475;2020-04-15
30-39;898;11704;2020-04-15
40-49;1277;14166;2020-04-15
50-59;1317;14008;2020-04-15
60-69;853;9768;2020-04-15
70-79;674;7146;2020-04-15
80-89;482;4447;2020-04-15
90+;140;1357;2020-04-15
I alt;6681;77712;2020-04-15
0-9;89;5439;2020-04-22
10-19;234;5087;2020-04-22
20-29;986;11933;2020-04-22
30-39;1075;16244;2020-04-22
40-49;1488;19600;2020-04-22
50-59;1537;19386;2020-04-22
60-69;998;13588;2020-04-22
70-79;751;9562;2020-04-22
80-89;577;5856;2020-04-22
90+;177;1770;2020-04-22
I alt;7912;108465;2020-04-22
0-9;120;9960;2020-04-29
10-19;313;9409;2020-04-29
20-29;1160;20100;2020-04-29
30-39;1230;26795;2020-04-29
40-49;1673;31753;2020-04-29
50-59;1694;32341;2020-04-29
60-69;1106;22693;2020-04-29
70-79;833;15391;2020-04-29
80-89;666;9008;2020-04-29
90+;213;2612;2020-04-29
I alt;9008;180062;2020-04-29
