MunicipalityCode;n_cases;pop_2020;inc_cum
011;24;NA;NA
101;634;632340;100,26251700034793
147;48;104305;46,01888691817267
151;36;48602;74,07102588370849
153;43;35090;122,54203476774011
155;5;14494;34,49703325514006
157;63;74830;84,19083255378858
159;73;69262;105,39689873234964
161;43;23128;185,92182635766170
163;46;28953;158,87818188097953
165;29;27731;104,57610616277810
167;63;53527;117,69761055168419
169;91;50759;179,27855158691071
173;21;56214;37,35724196819297
175;32;40652;78,71691429695956
183;78;22989;339,29270520683804
185;45;42989;104,67794086859431
187;18;16633;108,21860157518186
190;41;40965;100,08543878921030
201;7;25633;27,30854757539110
210;70;40865;171,29572984216321
217;58;62695;92,51136454262701
219;36;51183;70,33585370142430
223;18;24864;72,39382239382239
230;30;56728;52,88393738541814
240;51;43354;117,63620427180882
250;26;45223;57,49286867302037
253;74;50558;146,36654930970371
259;63;60979;103,31425572738155
260;7;31384;22,30435890899821
265;72;87914;81,89821871374298
269;15;23255;64,50225757901526
270;9;41048;21,92555057493666
306;23;32957;69,78790545255940
316;60;71541;83,86799178093680
320;26;36576;71,08486439195102
326;11;48436;22,71038070856388
329;20;34852;57,38551589578790
330;86;79073;108,76025950703780
336;11;22805;48,23503617627713
340;16;29881;53,54573140122486
350;16;27996;57,15102157451064
360;4;41105;9,73117625592994
370;66;83143;79,38130690497096
376;21;60722;34,58384111195284
390;12;45566;26,33542553658429
400;2;39499;5,06341932707157
410;12;38853;30,88564589606980
420;7;40965;17,08775784206030
430;27;51556;52,37023818760184
440;10;23812;41,99563245422476
450;41;32009;128,08897497578806
461;226;204895;110,30039776470876
479;20;58296;34,30767119527927
480;3;29665;10,11292769256700
482;5;12491;40,02882075094068
510;18;55670;32,33339320998743
530;8;26608;30,06614552014432
540;11;74220;14,82080301805443
550;11;37366;29,43852700315795
561;40;115483;34,63713273815193
573;10;49961;20,01561217749845
575;11;42742;25,73581021009780
580;34;58761;57,86150678170896
607;31;51377;60,33828366778909
615;49;90966;53,86627970890223
621;174;93175;186,74537161255702
630;171;115748;147,73473407747866
657;25;89127;28,04986143368452
661;7;58591;11,94722738987216
665;7;19722;35,49335767163574
706;5;42962;11,63819189050789
707;4;37089;10,78486882903287
710;5;48397;10,33121887720313
727;3;22844;13,13255121694975
730;45;97805;46,00991769336946
740;49;94026;52,11324527258419
746;10;62678;15,95456140910686
751;115;349983;32,85873885303000
756;22;41369;53,17991732940124
760;14;56594;24,73760469307700
766;37;46722;79,19181541886050
773;2;20247;9,87800661826443
779;5;45851;10,90488757060915
787;28;43423;64,48195656679640
791;21;96921;21,66713096233014
810;4;36304;11,01806963420009
813;5;59654;8,38166761658900
820;5;36727;13,61396247991941
840;3;30113;9,96247467871019
846;15;41800;35,88516746411483
849;5;38324;13,04665483769961
851;131;217075;60,34780605781412
860;4;64483;6,20318533566987
