Testspor;Kommune;KommuneID;Indbyggertal;Indbyggertal_unge;Antal_personer_testet;Antal_unge_personer_testet;Antal_personer_testet_POSITIV;Antal_unge_personer_testet_POSITIV;Andel_af_hele_befolkning_testet;Andel_af_unge_befolkning_testet;Antal_tests_af_unge;Antal_POSITIVE_tests_af_unge
samfundsspor (TCD);Albertslund;165;27731;4328;13185;2650;884;156;48%;61%;7040;171
samfundsspor (TCD);Ballerup;151;48602;6131;25612;4496;1272;270;53%;73%;13422;295
samfundsspor (TCD);Brøndby;153;35090;4354;14483;2412;1030;182;41%;55%;6394;210
samfundsspor (TCD);Copenhagen;101;632340;108991;290063;76752;15842;4208;46%;70%;215609;4508
samfundsspor (TCD);Dragør;155;14494;1359;7060;1026;343;63;49%;75%;3223;67
samfundsspor (TCD);Frederiksberg;147;104305;15357;41015;10549;2116;505;39%;69%;27952;551
samfundsspor (TCD);Gentofte;157;74830;9217;32307;6134;1435;288;43%;67%;16614;300
samfundsspor (TCD);Gladsaxe;159;69262;9543;31657;6404;1689;369;46%;67%;17457;393
samfundsspor (TCD);Glostrup;161;23128;2899;11281;2049;606;126;49%;71%;5663;142
samfundsspor (TCD);Helsingør;217;62695;7597;26367;4598;1345;259;42%;61%;11880;279
samfundsspor (TCD);Herlev;163;28953;3689;14280;2630;841;168;49%;71%;7684;180
samfundsspor (TCD);Hvidovre;167;53527;7151;18689;4008;1099;218;35%;56%;10476;241
samfundsspor (TCD);Høje-Taastrup;169;50759;6558;25319;4286;1623;321;50%;65%;12708;366
samfundsspor (TCD);Ishøj;183;22989;3152;12769;1970;1053;207;56%;63%;5579;227
samfundsspor (TCD);Lyngby-Taarbæk;173;56214;8279;25937;5906;923;227;46%;71%;15686;238
samfundsspor (TCD);Rødovre;175;40652;5022;17193;3078;981;195;42%;61%;8209;211
samfundsspor (TCD);Tårnby;185;42989;4798;20632;3214;1138;197;48%;67%;9435;213
samfundsspor (TCD);Vallensbæk;187;16633;1987;8389;1297;472;97;50%;65%;3680;108
sundhedsspor;Albertslund;165;27731;4328;3088;511;264;40;11%;12%;923;46
sundhedsspor;Ballerup;151;48602;6131;5230;635;421;32;11%;10%;1263;41
sundhedsspor;Brøndby;153;35090;4354;5443;807;473;64;16%;19%;1373;75
sundhedsspor;Copenhagen;101;632340;108991;95463;19895;6942;1077;15%;18%;35887;1267
sundhedsspor;Dragør;155;14494;1359;1464;130;100;4;10%;10%;213;4
sundhedsspor;Frederiksberg;147;104305;15357;20111;3567;1398;180;19%;23%;6029;215
sundhedsspor;Gentofte;157;74830;9217;9153;1130;677;80;12%;12%;2166;87
sundhedsspor;Gladsaxe;159;69262;9543;8708;1155;673;73;13%;12%;2226;87
sundhedsspor;Glostrup;161;23128;2899;3052;482;244;21;13%;17%;829;25
sundhedsspor;Helsingør;217;62695;7597;7401;941;468;42;12%;12%;1723;46
sundhedsspor;Herlev;163;28953;3689;4072;527;423;37;14%;14%;942;45
sundhedsspor;Hvidovre;167;53527;7151;12831;2277;859;152;24%;32%;3588;177
sundhedsspor;Høje-Taastrup;169;50759;6558;4488;666;444;44;9%;10%;1256;52
sundhedsspor;Ishøj;183;22989;3152;2445;339;291;29;11%;11%;543;39
sundhedsspor;Lyngby-Taarbæk;173;56214;8279;6595;916;462;51;12%;11%;1597;57
sundhedsspor;Rødovre;175;40652;5022;7013;989;563;91;17%;20%;1584;109
sundhedsspor;Tårnby;185;42989;4798;4633;507;355;30;11%;11%;934;38
sundhedsspor;Vallensbæk;187;16633;1987;1875;248;199;19;11%;12%;425;27
