Aldersgrupper;COVID19_cases;Antal indlaeggelser (%);Antal komorbiditet (%);Korte indlæggelser**;Kvinder;Mænd
0-9;14.489;167 (1);37 (22);60;83;84
10-19;32.614;161 (0);37 (23);55;88;73
20-29;39.896;505 (1);157 (31);150;321;184
30-39;29.140;771 (3);283 (37);253;458;313
40-49;31.136;1.141 (4);435 (38);314;560;581
50-59;30.646;1.836 (6);844 (46);362;833;1.003
60-69;16.885;1.986 (12);1.184 (60);252;782;1.204
70-79;10.558;2.876 (27);2.119 (74);224;1.186;1.690
80-89;5.640;2.417 (43);1.870 (77);188;1.206;1.211
90+;1.794;684 (38);551 (81);44;401;283
I alt;212.798;12.544 (6);7.517 (60);1902;5.918;6.626
