SampleDate;estimate;uncertainty_lower;uncertainty_upper
2020-03-12;1,21;1,02;1,40
2020-03-13;1,21;1,03;1,39
2020-03-14;1,20;1,03;1,38
2020-03-15;1,20;1,03;1,37
2020-03-16;1,18;1,02;1,34
2020-03-17;1,16;1,01;1,31
2020-03-18;1,13;0,99;1,28
2020-03-19;1,11;0,97;1,25
2020-03-20;1,08;0,94;1,22
2020-03-21;1,05;0,92;1,19
2020-03-22;1,02;0,89;1,15
2020-03-23;1,00;0,87;1,13
2020-03-24;0,97;0,84;1,10
2020-03-25;0,96;0,83;1,08
2020-03-26;0,94;0,81;1,07
2020-03-27;0,92;0,80;1,05
2020-03-28;0,90;0,77;1,03
2020-03-29;0,87;0,75;1,00
2020-03-30;0,86;0,73;0,99
2020-03-31;0,84;0,71;0,97
2020-04-01;0,83;0,70;0,96
2020-04-02;0,82;0,69;0,95
2020-04-03;0,82;0,69;0,95
2020-04-04;0,81;0,69;0,94
2020-04-05;0,80;0,68;0,93
2020-04-06;0,78;0,65;0,91
2020-04-07;0,76;0,63;0,89
2020-04-08;0,74;0,61;0,87
2020-04-09;0,74;0,61;0,87
2020-04-10;0,74;0,61;0,87
2020-04-11;0,73;0,60;0,86
2020-04-12;0,71;0,59;0,84
2020-04-13;0,69;0,56;0,82
2020-04-14;0,67;0,53;0,80
2020-04-15;0,66;0,53;0,80
2020-04-16;0,66;0,52;0,79
2020-04-17;0,66;0,52;0,79
2020-04-18;0,67;0,54;0,81
2020-04-19;0,70;0,57;0,83
2020-04-20;0,71;0,58;0,84
2020-04-21;0,72;0,59;0,85
2020-04-22;0,74;0,61;0,86
2020-04-23;0,75;0,62;0,88
2020-04-24;0,76;0,63;0,89
2020-04-25;0,76;0,63;0,89
2020-04-26;0,76;0,64;0,89
2020-04-27;0,77;0,64;0,90
2020-04-28;0,78;0,65;0,91
2020-04-29;0,79;0,66;0,91
2020-04-30;0,79;0,66;0,92
2020-05-01;0,78;0,66;0,91
2020-05-02;0,78;0,66;0,91
2020-05-03;0,79;0,66;0,91
2020-05-04;0,79;0,66;0,92
2020-05-05;0,81;0,68;0,93
2020-05-06;0,83;0,70;0,95
2020-05-07;0,84;0,71;0,97
2020-05-08;0,85;0,72;0,98
2020-05-09;0,85;0,72;0,98
2020-05-10;0,85;0,72;0,98
2020-05-11;0,85;0,72;0,98
2020-05-12;0,85;0,72;0,97
2020-05-13;0,85;0,72;0,97
2020-05-14;0,85;0,72;0,97
2020-05-15;0,85;0,72;0,98
2020-05-16;0,85;0,72;0,98
2020-05-17;0,85;0,73;0,98
2020-05-18;0,86;0,73;0,99
2020-05-19;0,87;0,74;1,00
2020-05-20;0,88;0,75;1,00
2020-05-21;0,88;0,76;1,01
2020-05-22;0,89;0,76;1,02
2020-05-23;0,89;0,77;1,02
2020-05-24;0,90;0,77;1,03
2020-05-25;0,90;0,77;1,03
2020-05-26;0,90;0,77;1,03
2020-05-27;0,89;0,77;1,02
2020-05-28;0,89;0,76;1,02
2020-05-29;0,89;0,76;1,01
2020-05-30;0,89;0,76;1,02
2020-05-31;0,91;0,78;1,04
2020-06-01;0,93;0,80;1,05
2020-06-02;0,94;0,81;1,07
2020-06-03;0,95;0,82;1,08
2020-06-04;0,95;0,82;1,08
2020-06-05;0,95;0,82;1,08
2020-06-06;0,93;0,80;1,06
2020-06-07;0,93;0,80;1,06
2020-06-08;0,93;0,80;1,05
2020-06-09;0,92;0,79;1,05
2020-06-10;0,91;0,78;1,04
2020-06-11;0,88;0,76;1,01
2020-06-12;0,87;0,74;1,00
2020-06-13;0,85;0,72;0,98
2020-06-14;0,84;0,70;0,97
2020-06-15;0,83;0,69;0,96
2020-06-16;0,82;0,68;0,96
2020-06-17;0,83;0,69;0,97
2020-06-18;0,83;0,69;0,97
2020-06-19;0,84;0,70;0,97
2020-06-20;0,85;0,71;0,98
2020-06-21;0,86;0,72;1,00
2020-06-22;0,88;0,74;1,01
2020-06-23;0,90;0,76;1,03
2020-06-24;0,92;0,79;1,06
2020-06-25;0,96;0,83;1,09
2020-06-26;0,99;0,86;1,12
2020-06-27;1,03;0,90;1,15
2020-06-28;1,06;0,93;1,19
2020-06-29;1,10;0,97;1,23
2020-06-30;1,14;1,00;1,27
2020-07-01;1,17;1,02;1,31
2020-07-02;1,18;1,04;1,32
2020-07-03;1,17;1,04;1,31
2020-07-04;1,17;1,03;1,30
2020-07-05;1,16;1,03;1,30
2020-07-06;1,16;1,03;1,29
2020-07-07;1,16;1,03;1,29
2020-07-08;1,15;1,02;1,28
2020-07-09;1,14;1,01;1,27
