date;adj_cases_1e+05_tests
2020-03-18;1808
2020-03-19;1881
2020-03-20;2112
2020-03-21;2159
2020-03-22;2490
2020-03-23;2892
2020-03-24;3094
2020-03-25;3101
2020-03-26;3157
2020-03-27;3310
2020-03-28;3600
2020-03-29;3127
2020-03-30;3311
2020-03-31;2959
2020-04-01;2934
2020-04-02;2896
2020-04-03;3120
2020-04-04;3038
2020-04-05;2610
2020-04-06;2761
2020-04-07;2438
2020-04-08;2254
2020-04-09;2017
2020-04-10;2037
2020-04-11;2098
2020-04-12;2231
2020-04-13;2164
2020-04-14;1839
2020-04-15;1576
2020-04-16;1466
2020-04-17;1469
2020-04-18;1535
2020-04-19;1605
2020-04-20;1397
2020-04-21;1114
2020-04-22;1032
2020-04-23;929
2020-04-24;699
2020-04-25;629
2020-04-26;627
2020-04-27;665
2020-04-28;545
2020-04-29;527
2020-04-30;542
2020-05-01;556
2020-05-02;520
2020-05-03;460
2020-05-04;436
2020-05-05;438
2020-05-06;431
2020-05-07;440
2020-05-08;404
2020-05-09;377
2020-05-10;349
2020-05-11;299
2020-05-12;269
2020-05-13;277
2020-05-14;287
2020-05-15;313
2020-05-16;284
2020-05-17;292
2020-05-18;286
2020-05-19;264
2020-05-20;259
2020-05-21;240
2020-05-22;251
2020-05-23;223
2020-05-24;208
2020-05-25;198
2020-05-26;204
2020-05-27;197
2020-05-28;188
2020-05-29;192
2020-05-30;190
2020-05-31;183
2020-06-01;190
2020-06-02;195
2020-06-03;192
2020-06-04;178
2020-06-05;161
2020-06-06;141
2020-06-07;135
2020-06-08;141
2020-06-09;139
2020-06-10;153
2020-06-11;169
2020-06-12;176
2020-06-13;160
2020-06-14;152
2020-06-15;154
2020-06-16;165
2020-06-17;183
2020-06-18;168
2020-06-19;158
2020-06-20;152
2020-06-21;140
2020-06-22;125
2020-06-23;108
2020-06-24;110
2020-06-25;103
2020-06-26;94
2020-06-27;88
2020-06-28;81
2020-06-29;79
2020-06-30;72
2020-07-01;65
2020-07-02;63
2020-07-03;64
2020-07-04;63
2020-07-05;63
2020-07-06;64
2020-07-07;73
2020-07-08;90
2020-07-09;110
2020-07-10;117
2020-07-11;120
2020-07-12;121
2020-07-13;123
2020-07-14;131
2020-07-15;144
2020-07-16;155
2020-07-17;150
2020-07-18;154
2020-07-19;141
2020-07-20;132
2020-07-21;135
2020-07-22;139
2020-07-23;152
2020-07-24;145
2020-07-25;144
2020-07-26;152
2020-07-27;181
2020-07-28;207
2020-07-29;213
2020-07-30;228
2020-07-31;223
2020-08-01;250
2020-08-02;281
2020-08-03;310
2020-08-04;324
2020-08-05;339
2020-08-06;387
2020-08-07;357
2020-08-08;325
2020-08-09;355
2020-08-10;342
2020-08-11;312
2020-08-12;312
2020-08-13;272
2020-08-14;265
2020-08-15;281
2020-08-16;242
2020-08-17;215
2020-08-18;208
2020-08-19;185
2020-08-20;180
2020-08-21;183
2020-08-22;190
2020-08-23;177
2020-08-24;160
2020-08-25;159
2020-08-26;159
2020-08-27;167
2020-08-28;206
2020-08-29;231
2020-08-30;257
2020-08-31;268
2020-09-01;339
2020-09-02;330
2020-09-03;371
2020-09-04;402
2020-09-05;464
2020-09-06;507
2020-09-07;508
2020-09-08;534
2020-09-09;511
2020-09-10;570
2020-09-11;564
2020-09-12;562
2020-09-13;558
2020-09-14;588
2020-09-15;669
2020-09-16;809
2020-09-17;812
2020-09-18;775
2020-09-19;796
2020-09-20;784
2020-09-21;830
2020-09-22;887
2020-09-23;970
2020-09-24;926
2020-09-25;796
2020-09-26;755
