Age group;Week 2020-53;Week 2020-52;Week 2020-51;Week 2020-50;Week 2020-49;Week 2020-48;Week 2020-47;Week 2020-46;Week 2020-45;Week 2020-44;Week 2020-43;Week 2020-42;Week 2020-41;Week 2020-40;Week 2020-39;Week 2020-38;Week 2020-37;Week 2020-36;Week 2020-35;Week 2020-34;Week 2020-33;Week 2020-32;Week 2020-31;Week 2020-30;Week 2020-29;Week 2020-28;Week 2020-27;Week 2020-26;Week 2020-25;Week 2020-24;Week 2020-23;Week 2020-22;Week 2020-21;Week 2020-20;Week 2020-19;Week 2020-18;Week 2020-17;Week 2020-16;Week 2020-15;Week 2020-14;Week 2020-13;Week 2020-12;Week 2020-11;Week 2020-10;Week 2020-09;Week 2021-09;Week 2021-08;Week 2020-08;Week 2021-07;Week 2020-07;Week 2021-06;Week 2021-05;Week 2020-05;Week 2021-04;Week 2021-03;Week 2021-02;Week 2021-01
0-4;390;584;623;418;236;160;184;179;227;152;128;62;49;78;66;45;44;24;8;20;23;16;9;4;4;3;4;11;3;7;9;8;14;14;18;26;10;10;15;8;5;2;4;0;0;44;179;NA;190;NA;93;124;NA;159;202;258;343
5-9;603;959;1213;896;518;402;359;321;314;285;176;103;86;117;119;82;77;32;17;38;34;35;4;9;8;3;5;8;12;14;11;7;14;15;19;36;18;9;17;9;0;0;7;0;0;59;253;NA;248;NA;161;144;NA;178;210;264;449
10-14;713;1010;1592;1652;1088;688;704;608;681;655;381;182;179;190;258;164;188;80;31;43;65;56;20;9;15;9;4;9;14;8;11;10;15;17;35;37;35;20;17;10;3;1;7;1;1;49;265;NA;214;NA;184;155;NA;192;243;326;548
15-19;1043;1252;2322;2255;1617;1021;900;750;672;829;701;306;305;336;445;347;211;94;60;86;122;90;25;25;24;13;6;4;22;14;10;21;13;27;24;39;52;32;56;39;9;1;22;2;0;48;266;NA;242;NA;183;184;NA;208;276;415;856
20-24;1204;1461;2533;2439;1368;860;816;751;710;734;655;383;309;324;543;420;211;183;91;121;128;111;60;23;30;30;13;15;29;25;20;21;31;22;56;83;84;82;104;87;20;6;76;8;0;48;331;0;312;NA;263;271;NA;285;423;512;1070
25-29;1312;1374;2167;2237;1153;767;731;700;714;729;569;268;218;241;314;362;229;168;73;62;94;92;55;24;16;15;10;13;24;15;29;34;46;43;53;82;129;107;164;158;54;21;52;5;0;75;293;0;253;NA;204;276;NA;271;428;567;1011
30-34;1077;1241;1739;1694;897;632;619;529;493;559;454;232;168;191;264;251;150;99;48;49;89;82;45;11;20;14;14;19;21;20;15;24;35;48;63;79;94;93;113;155;53;30;64;8;0;70;331;0;290;NA;193;243;NA;300;410;489;805
35-39;944;1093;1514;1303;731;515;516;459;464;482;388;231;160;167;181;180;132;121;48;33;47;58;55;12;17;11;9;12;28;29;21;22;33;44;40;78;97;73;135;164;48;19;68;5;0;65;275;0;234;NA;193;198;NA;212;360;446;644
40-44;875;1208;1703;1461;895;585;576;535;521;538;401;183;199;179;230;224;143;101;46;31;52;57;47;20;22;11;6;9;27;17;17;24;34;33;51;73;109;113;128;199;70;46;120;12;0;49;289;NA;242;0;185;188;NA;282;385;461;694
45-49;1056;1291;1799;1716;995;712;649;599;568;642;445;252;222;255;266;256;172;97;43;33;59;58;51;23;28;11;10;15;31;20;16;13;26;24;53;74;108;95;138;209;92;57;142;10;2;61;261;NA;221;NA;217;252;NA;266;381;553;785
50-54;1097;1301;1826;1628;947;617;651;580;559;524;430;284;226;212;271;238;177;69;47;33;62;78;45;23;15;12;11;15;38;22;23;24;29;29;55;87;103;97;187;219;106;39;97;8;1;54;216;NA;239;NA;193;241;NA;258;391;522;890
55-59;994;1200;1612;1363;773;577;543;530;506;478;383;209;168;183;213;218;174;79;24;32;51;73;18;26;17;15;8;6;17;15;19;15;36;37;60;71;95;114;141;230;134;41;65;8;0;48;224;NA;218;NA;194;194;NA;252;415;572;812
60-64;863;811;1127;932;522;398;387;332;332;290;246;134;118;107;152;122;101;55;26;22;26;32;23;11;15;9;5;7;17;15;10;21;15;32;46;65;77;90;122;197;95;48;36;6;0;41;158;0;141;NA;154;165;NA;197;353;434;654
65-69;539;551;788;575;260;222;237;222;200;196;165;119;75;82;101;96;73;39;17;13;17;23;11;9;10;3;4;13;4;11;14;12;14;15;18;34;48;44;74;99;82;47;19;3;0;19;94;NA;101;NA;100;110;0;128;188;212;341
70-74;515;461;719;455;259;216;199;149;172;157;145;96;80;67;68;87;72;27;15;9;14;15;11;8;9;7;3;14;15;13;5;17;9;9;22;30;61;34;56;93;110;45;21;1;0;16;77;NA;72;NA;64;108;NA;115;168;203;359
75-79;468;448;488;322;246;163;141;124;125;136;84;77;58;54;60;43;39;18;9;3;7;12;6;5;3;1;6;10;11;10;10;11;9;15;21;20;42;39;55;89;115;61;9;0;NA;13;72;NA;52;NA;57;92;NA;104;149;232;342
80-84;366;284;312;211;116;107;107;70;60;59;51;33;35;23;36;33;18;9;5;3;6;2;5;1;1;0;2;10;6;9;6;9;8;15;19;31;47;46;54;78;70;53;14;3;0;10;53;NA;32;NA;27;53;NA;75;138;191;270
85-89;275;226;186;147;70;53;62;42;36;28;22;30;23;12;20;23;18;5;1;2;0;3;1;2;5;1;0;3;2;6;2;9;7;3;13;25;56;39;43;72;48;24;5;1;NA;4;18;NA;17;NA;21;45;NA;73;118;182;229
90+;201;174;162;100;63;46;44;31;19;29;19;14;11;8;18;14;7;2;2;3;1;2;0;1;5;1;3;2;2;2;3;5;5;6;6;21;35;42;32;60;24;12;4;0;NA;3;13;NA;8;NA;21;41;NA;56;76;148;187
