Date;Antal_døde;running_avg_deaths;new_1;new_2;new_3;new_4;new_1_avg;new_2_avg;new_3_avg;new_4_avg;sum_1;sum_2;sum_3;sum_4;active_1;active_2;active_3;active_4
2020-02-10; 0;NA;   0,00000;   0,00000;   0,00000;   0,00000;NA;NA;NA;NA;     0,00000;     0,00000;     0,00000;     0,00000;NA;NA;NA;NA
2020-02-11; 0;NA;   0,00000;   0,00000;   0,00000;   0,00000;NA;NA;NA;NA;     0,00000;     0,00000;     0,00000;     0,00000;NA;NA;NA;NA
2020-02-12; 0;NA;   0,00000;   0,00000;   0,00000;   0,00000;NA;NA;NA;NA;     0,00000;     0,00000;     0,00000;     0,00000;NA;NA;NA;NA
2020-02-13; 0;NA;   0,00000;   0,00000;   0,00000;   0,00000;  10,20408;  16,54716;  21,11189;  25,51020;     0,00000;     0,00000;     0,00000;     0,00000;NA;NA;NA;NA
2020-02-14; 0;NA;  23,80952;  38,61004;  49,26108;  59,52381;  17,00680;  27,57860;  35,18649;  42,51701;    23,80952;    38,61004;    49,26108;    59,52381;NA;NA;NA;NA
2020-02-15; 0;NA;  23,80952;  38,61004;  49,26108;  59,52381;  30,61224;  49,64148;  63,33568;  76,53061;    47,61905;    77,22008;    98,52217;   119,04762;NA;NA;NA;NA
2020-02-16; 0; 0,0000000;  23,80952;  38,61004;  49,26108;  59,52381;  47,61905;  77,22008;  98,52217; 119,04762;    71,42857;   115,83012;   147,78325;   178,57143;NA;NA;NA;NA
2020-02-17; 0; 0,0000000;  47,61905;  77,22008;  98,52217; 119,04762;  68,02721; 110,31440; 140,74595; 170,06803;   119,04762;   193,05019;   246,30542;   297,61905;NA;NA;NA;NA
2020-02-18; 0; 0,0000000;  95,23810; 154,44015; 197,04433; 238,09524;  95,23810; 154,44015; 197,04433; 238,09524;   214,28571;   347,49035;   443,34975;   535,71429;NA;NA;NA;NA
2020-02-19; 0; 0,0000000; 119,04762; 193,05019; 246,30542; 297,61905; 139,45578; 226,14451; 288,52920; 348,63946;   333,33333;   540,54054;   689,65517;   833,33333;NA;NA;NA;NA
2020-02-20; 0; 0,0000000; 142,85714; 231,66023; 295,56650; 357,14286; 197,27891; 319,91175; 408,16327; 493,19728;   476,19048;   772,20077;   985,22167;  1190,47619;NA;NA;NA;NA
2020-02-21; 0; 0,0000000; 214,28571; 347,49035; 443,34975; 535,71429; 258,50340; 419,19470; 534,83462; 646,25850;   690,47619;  1119,69112;  1428,57143;  1726,19048;NA;NA;NA;NA
2020-02-22; 0; 0,0000000; 333,33333; 540,54054; 689,65517; 833,33333; 316,32653; 512,96194; 654,46868; 790,81633;  1023,80952;  1660,23166;  2118,22660;  2559,52381;NA;NA;NA;NA
2020-02-23; 0; 0,0000000; 428,57143; 694,98069; 886,69951;1071,42857; 387,75510; 628,79206; 802,25194; 969,38776;  1452,38095;  2355,21236;  3004,92611;  3630,95238;NA;NA;NA;NA
2020-02-24; 0; 0,0000000; 476,19048; 772,20077; 985,22167;1190,47619; 472,78912; 766,68505; 978,18438;1181,97279;  1928,57143;  3127,41313;  3990,14778;  4821,42857;  333,3333;  540,5405;  689,6552;  833,3333
