"Kommune";"Dato";"Bekræftede tilfælde"
265;2020-02-26;1
101;2020-02-27;1
751;2020-02-28;1
101;2020-03-01;1
101;2020-03-02;1
147;2020-03-02;1
326;2020-03-02;1
410;2020-03-02;1
101;2020-03-03;4
101;2020-03-04;1
157;2020-03-04;1
269;2020-03-04;1
101;2020-03-05;2
147;2020-03-05;2
155;2020-03-05;1
201;2020-03-05;1
217;2020-03-05;2
219;2020-03-05;1
230;2020-03-05;1
370;2020-03-06;1
851;2020-03-06;1
101;2020-03-07;1
147;2020-03-07;1
187;2020-03-07;1
219;2020-03-07;2
230;2020-03-07;3
751;2020-03-07;1
101;2020-03-08;3
147;2020-03-08;2
157;2020-03-08;1
190;2020-03-08;1
201;2020-03-08;1
230;2020-03-08;2
250;2020-03-08;2
253;2020-03-08;1
265;2020-03-08;1
316;2020-03-08;1
370;2020-03-08;1
461;2020-03-08;1
561;2020-03-08;1
580;2020-03-08;2
621;2020-03-08;4
630;2020-03-08;1
710;2020-03-08;1
740;2020-03-08;2
746;2020-03-08;4
751;2020-03-08;15
851;2020-03-08;1
101;2020-03-09;23
147;2020-03-09;6
151;2020-03-09;2
157;2020-03-09;5
159;2020-03-09;3
163;2020-03-09;1
167;2020-03-09;1
173;2020-03-09;6
175;2020-03-09;1
187;2020-03-09;1
190;2020-03-09;2
217;2020-03-09;9
219;2020-03-09;2
223;2020-03-09;4
230;2020-03-09;2
240;2020-03-09;1
253;2020-03-09;2
259;2020-03-09;2
260;2020-03-09;2
265;2020-03-09;2
269;2020-03-09;4
316;2020-03-09;2
320;2020-03-09;2
326;2020-03-09;1
330;2020-03-09;1
336;2020-03-09;3
340;2020-03-09;2
350;2020-03-09;2
360;2020-03-09;3
370;2020-03-09;7
376;2020-03-09;2
390;2020-03-09;2
410;2020-03-09;5
430;2020-03-09;2
450;2020-03-09;1
461;2020-03-09;8
479;2020-03-09;3
480;2020-03-09;1
510;2020-03-09;1
540;2020-03-09;2
561;2020-03-09;11
575;2020-03-09;1
580;2020-03-09;2
607;2020-03-09;1
615;2020-03-09;1
621;2020-03-09;6
630;2020-03-09;5
657;2020-03-09;5
706;2020-03-09;1
710;2020-03-09;1
730;2020-03-09;2
740;2020-03-09;6
746;2020-03-09;2
751;2020-03-09;25
779;2020-03-09;1
791;2020-03-09;1
851;2020-03-09;6
860;2020-03-09;2
101;2020-03-10;50
147;2020-03-10;13
151;2020-03-10;1
153;2020-03-10;1
157;2020-03-10;13
159;2020-03-10;1
163;2020-03-10;2
167;2020-03-10;1
173;2020-03-10;3
175;2020-03-10;1
187;2020-03-10;1
201;2020-03-10;3
217;2020-03-10;7
219;2020-03-10;4
223;2020-03-10;3
230;2020-03-10;6
240;2020-03-10;1
250;2020-03-10;2
253;2020-03-10;7
259;2020-03-10;4
260;2020-03-10;2
265;2020-03-10;6
269;2020-03-10;1
270;2020-03-10;1
306;2020-03-10;2
316;2020-03-10;1
326;2020-03-10;1
376;2020-03-10;2
390;2020-03-10;3
410;2020-03-10;2
430;2020-03-10;2
440;2020-03-10;1
450;2020-03-10;1
461;2020-03-10;3
479;2020-03-10;1
480;2020-03-10;1
510;2020-03-10;1
530;2020-03-10;1
561;2020-03-10;4
580;2020-03-10;1
607;2020-03-10;3
615;2020-03-10;1
621;2020-03-10;5
630;2020-03-10;1
657;2020-03-10;2
661;2020-03-10;1
707;2020-03-10;1
710;2020-03-10;4
727;2020-03-10;1
730;2020-03-10;2
740;2020-03-10;4
746;2020-03-10;13
751;2020-03-10;37
760;2020-03-10;2
779;2020-03-10;3
791;2020-03-10;1
813;2020-03-10;2
