"uge";"Statens Serum Institut";"Region Hovedstaden";"Region Midtjylland";"Region Nordjylland";"Region Sjælland";"Region Syddanmark";"Test center Danmark";"Sundhedsspor";"Samfundsspor";"Total"
2020-W07;1;0;0;0;0;0;0;0;0;0
2020-W08;7;0;0;0;0;0;0;0;0;0
2020-W09;244;20;67;0;0;0;0;0;0;0
2020-W10;89;266;235;59;94;66;0;809;0;0
2020-W11;2;1645;1478;361;695;783;0;4964;0;0
2020-W12;25;2644;1827;441;962;1458;0;7357;0;0
2020-W13;509;4273;1365;725;1379;1784;0;10035;0;0
2020-W14;571;12579;4652;2465;3278;4711;0;28256;0;0
2020-W15;321;12248;4922;2608;2729;4691;46;27519;46;27565
2020-W16;656;12051;5159;2352;2950;5043;5;28211;5;28216
2020-W17;460;24761;13325;8627;11198;13529;6064;71900;6064;77964
2020-W18;227;29847;18245;8009;12881;16422;14989;85631;14989;100620
2020-W19;282;29344;13305;5433;11796;11779;15229;71939;15229;87168
2020-W20;7;30583;14912;5831;10244;13886;11270;75463;11270;86733
2020-W21;94;23714;11193;4646;7926;10807;24873;58380;24873;83253
2020-W22;93;22243;10176;4176;7127;9591;27588;53406;27588;80994
2020-W23;18;20062;9041;3805;6932;9202;17971;49060;17971;67031
2020-W24;10;25941;12546;5394;8826;12604;46465;65321;46465;111786
2020-W25;6;28349;13288;8097;9321;14270;39416;73331;39416;112747
2020-W26;12;27013;12969;6851;9476;13623;44394;69944;44394;114338
2020-W27;5;22915;11155;5960;7102;11556;44952;58693;44952;103645
2020-W28;3;21153;10238;5712;6644;10738;43813;54488;43813;98301
2020-W29;2;20373;9539;5205;7014;10948;49946;53081;49946;103027
2020-W30;1;19765;9198;4764;6170;10306;58139;50204;58139;108343
2020-W31;1;21400;11138;5559;7294;11978;75800;57370;75800;133170
2020-W32;0;25586;16080;7076;8903;15145;97994;72790;97994;170784
2020-W33;0;30621;20040;9232;11256;18325;127812;89474;127812;217286
2020-W34;2;34906;23850;12592;14555;27154;130888;113059;130888;243947
2020-W35;0;41033;25446;13104;15915;30696;118684;126194;118684;244878
2020-W36;2;43256;25109;12950;15818;32258;127735;129393;127735;257128
2020-W37;0;53597;25068;13643;16929;34963;189129;144200;189129;333329
2020-W38;0;50486;25089;14871;15548;30530;218954;136524;218954;355478
2020-W39;0;49839;28326;13639;15168;30768;215701;137740;215701;353441
2020-W40;0;40090;23407;10588;12601;24380;199401;111066;199401;310467
2020-W41;3;34564;19839;8694;10773;21749;204744;95622;204744;300366
2020-W42;1;27283;14134;6785;7716;15626;170881;71545;170881;242426
2020-W43;0;32080;15967;8064;9079;17956;258953;83146;258953;342099
2020-W44;0;37070;14448;9373;10892;16978;362189;88761;362189;450950
2020-W45;1;45518;17946;9489;15615;20786;368906;109355;368906;478261
2020-W46;0;42158;18370;8693;15557;23094;399456;107872;399456;507328
2020-W47;3;53203;19749;7715;13381;26814;392601;120865;392601;513466
2020-W48;0;67741;19259;7320;13507;31525;371246;139352;371246;510598
2020-W49;1;75967;19449;7220;13903;31492;406824;148032;406824;554856
2020-W50;2;99389;26779;8881;21098;36713;512072;192862;512072;704934
2020-W51;0;107179;47345;14592;23377;41088;667332;233581;667332;900913
2020-W52;1;56991;42523;11746;15745;30706;505242;157712;505242;662954
2020-W53;0;39365;43426;7169;11308;24508;423605;125776;423605;549381
2021-W01;0;45331;45095;9289;11389;24149;440986;135253;440986;576239
2021-W02;0;44443;19945;8043;11750;25070;502118;109251;502118;611369
2021-W03;8;47950;22416;9414;12420;31041;635683;123249;635683;758932
2021-W04;4;47349;19675;9368;12066;29088;671269;117550;671269;788819
2021-W05;13;47629;20726;9556;12480;27833;693572;118237;693572;811809
2021-W06;7;44684;20722;9824;11836;27978;711578;115051;711578;826629
2021-W07;6;41038;19205;9561;11717;26624;748370;108151;748370;856521
2021-W08;8;47526;22868;9262;12751;31282;862060;123697;862060;985757
2021-W09;4;50096;22971;10353;13903;30758;935977;128085;935977;1064062
2021-W10;1;50302;22724;10371;14227;31535;962752;129160;962752;1091912
