"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
;0-9;59;2021-03-19
019;0-9;13;2021-03-19
101;0-9;2696;2021-03-19
147;0-9;388;2021-03-19
151;0-9;240;2021-03-19
153;0-9;256;2021-03-19
155;0-9;73;2021-03-19
157;0-9;211;2021-03-19
159;0-9;375;2021-03-19
161;0-9;109;2021-03-19
163;0-9;181;2021-03-19
165;0-9;190;2021-03-19
167;0-9;295;2021-03-19
169;0-9;352;2021-03-19
173;0-9;183;2021-03-19
175;0-9;218;2021-03-19
183;0-9;227;2021-03-19
185;0-9;243;2021-03-19
187;0-9;124;2021-03-19
190;0-9;131;2021-03-19
201;0-9;56;2021-03-19
210;0-9;141;2021-03-19
217;0-9;220;2021-03-19
219;0-9;162;2021-03-19
223;0-9;49;2021-03-19
230;0-9;138;2021-03-19
240;0-9;204;2021-03-19
250;0-9;85;2021-03-19
253;0-9;208;2021-03-19
259;0-9;186;2021-03-19
260;0-9;29;2021-03-19
265;0-9;269;2021-03-19
269;0-9;82;2021-03-19
270;0-9;90;2021-03-19
306;0-9;28;2021-03-19
316;0-9;147;2021-03-19
320;0-9;54;2021-03-19
326;0-9;75;2021-03-19
329;0-9;76;2021-03-19
330;0-9;212;2021-03-19
336;0-9;37;2021-03-19
340;0-9;47;2021-03-19
350;0-9;89;2021-03-19
360;0-9;33;2021-03-19
370;0-9;155;2021-03-19
376;0-9;88;2021-03-19
390;0-9;50;2021-03-19
400;0-9;27;2021-03-19
410;0-9;57;2021-03-19
420;0-9;36;2021-03-19
430;0-9;58;2021-03-19
440;0-9;53;2021-03-19
450;0-9;60;2021-03-19
461;0-9;574;2021-03-19
479;0-9;50;2021-03-19
480;0-9;36;2021-03-19
482;0-9;5;2021-03-19
492;0-9;3;2021-03-19
510;0-9;66;2021-03-19
530;0-9;31;2021-03-19
540;0-9;121;2021-03-19
550;0-9;36;2021-03-19
561;0-9;221;2021-03-19
563;0-9;1;2021-03-19
573;0-9;72;2021-03-19
575;0-9;66;2021-03-19
580;0-9;98;2021-03-19
607;0-9;97;2021-03-19
615;0-9;167;2021-03-19
621;0-9;363;2021-03-19
630;0-9;306;2021-03-19
657;0-9;145;2021-03-19
661;0-9;102;2021-03-19
665;0-9;23;2021-03-19
671;0-9;40;2021-03-19
706;0-9;42;2021-03-19
707;0-9;59;2021-03-19
710;0-9;87;2021-03-19
727;0-9;45;2021-03-19
730;0-9;207;2021-03-19
740;0-9;220;2021-03-19
741;0-9;2;2021-03-19
746;0-9;154;2021-03-19
751;0-9;1147;2021-03-19
756;0-9;71;2021-03-19
760;0-9;42;2021-03-19
766;0-9;63;2021-03-19
773;0-9;31;2021-03-19
779;0-9;48;2021-03-19
787;0-9;46;2021-03-19
791;0-9;119;2021-03-19
810;0-9;60;2021-03-19
813;0-9;70;2021-03-19
820;0-9;23;2021-03-19
840;0-9;53;2021-03-19
846;0-9;36;2021-03-19
849;0-9;66;2021-03-19
851;0-9;431;2021-03-19
860;0-9;79;2021-03-19
;10-19;64;2021-03-19
011;10-19;3;2021-03-19
019;10-19;17;2021-03-19
101;10-19;4633;2021-03-19
147;10-19;619;2021-03-19
151;10-19;475;2021-03-19
153;10-19;456;2021-03-19
155;10-19;105;2021-03-19
157;10-19;715;2021-03-19
159;10-19;665;2021-03-19
161;10-19;227;2021-03-19
163;10-19;406;2021-03-19
165;10-19;382;2021-03-19
167;10-19;641;2021-03-19
169;10-19;667;2021-03-19
173;10-19;421;2021-03-19
175;10-19;450;2021-03-19
183;10-19;442;2021-03-19
185;10-19;439;2021-03-19
187;10-19;230;2021-03-19
190;10-19;323;2021-03-19
201;10-19;150;2021-03-19
210;10-19;290;2021-03-19
217;10-19;467;2021-03-19
219;10-19;333;2021-03-19
223;10-19;161;2021-03-19
230;10-19;507;2021-03-19
240;10-19;340;2021-03-19
250;10-19;207;2021-03-19
