"Dato";"Region";"Køn";"Bekræftede tilfælde";"Døde";"Overstået infektion";"Indlæggelser";"Testede personer";"Ændring i antal bekræftede tilfælde";"Ændring i antal døde";"Ændring i antal overstået infektion";"Ændring i antal indlagte";"Ændring i antallet af testede personer";"Antallet af prøver";"Ændring i antallet af prøver"
2021-03-19;Hovedstaden;F;54317;613;52046;3152;784465;167;0;135;7;1716;4367376;54759
2021-03-19;Hovedstaden;M;50773;667;48284;3247;727964;164;0;122;5;1899;3304676;44357
2021-03-19;Midtjylland;F;19955;148;19044;830;523026;61;0;50;0;1397;2542879;36364
2021-03-19;Midtjylland;M;19220;193;18197;1034;494066;53;0;49;0;1632;1924814;28948
2021-03-19;NA;;0;0;0;0;21;0;0;0;0;0;33;0
2021-03-19;NA;F;695;0;651;41;28959;3;0;3;0;362;67538;1055
2021-03-19;NA;M;1510;2;1384;95;58991;14;0;7;0;705;130179;2167
2021-03-19;Nordjylland;F;7613;69;7280;360;245933;18;0;21;0;358;1316275;18802
2021-03-19;Nordjylland;M;7602;109;7154;451;237587;26;0;15;0;457;996975;14619
2021-03-19;Sjælland;F;16209;172;15447;1033;326183;65;0;48;2;1230;1658224;25747
2021-03-19;Sjælland;M;14872;216;14028;1231;305991;63;0;49;3;1266;1231466;21557
2021-03-19;Syddanmark;F;15638;95;14475;706;483766;100;0;50;2;1675;2442929;41222
2021-03-19;Syddanmark;M;15854;113;14590;807;460453;109;0;69;8;1869;1890338;34156
