"Region";"Alders gruppe";"Indlæggelser"
;0-9;2
Hovedstaden;0-9;103
Midtjylland;0-9;21
Nordjylland;0-9;6
Sjælland;0-9;17
Syddanmark;0-9;21
;10-19;0
Hovedstaden;10-19;85
Midtjylland;10-19;24
Nordjylland;10-19;8
Sjælland;10-19;38
Syddanmark;10-19;16
;20-29;10
Hovedstaden;20-29;272
Midtjylland;20-29;74
Nordjylland;20-29;34
Sjælland;20-29;72
Syddanmark;20-29;70
;30-39;20
Hovedstaden;30-39;446
Midtjylland;30-39;110
Nordjylland;30-39;38
Sjælland;30-39;107
Syddanmark;30-39;91
;40-49;27
Hovedstaden;40-49;586
Midtjylland;40-49;175
Nordjylland;40-49;62
Sjælland;40-49;214
Syddanmark;40-49;142
;50-59;40
Hovedstaden;50-59;896
Midtjylland;50-59;333
Nordjylland;50-59;103
Sjælland;50-59;321
Syddanmark;50-59;236
;60-69;22
Hovedstaden;60-69;944
Midtjylland;60-69;311
Nordjylland;60-69;134
Sjælland;60-69;374
Syddanmark;60-69;269
;70-79;10
Hovedstaden;70-79;1417
Midtjylland;70-79;434
Nordjylland;70-79;215
Sjælland;70-79;541
Syddanmark;70-79;343
;80-89;5
Hovedstaden;80-89;1265
Midtjylland;80-89;305
Nordjylland;80-89;173
Sjælland;80-89;449
Syddanmark;80-89;266
;90+;0
Hovedstaden;90+;385
Midtjylland;90+;77
Nordjylland;90+;38
Sjælland;90+;131
Syddanmark;90+;59
