"Region";"Alders gruppe";"Bekræftede tilfælde";"Døde"
;0-9;72;0
Hovedstaden;0-9;7693;1
Midtjylland;0-9;2783;0
Nordjylland;0-9;895;0
Sjælland;0-9;1836;0
Syddanmark;0-9;2410;0
;10-19;84;0
Hovedstaden;10-19;15167;0
Midtjylland;10-19;6416;0
Nordjylland;10-19;2326;0
Sjælland;10-19;5097;0
Syddanmark;10-19;5382;0
;20-29;510;0
Hovedstaden;20-29;21518;0
Midtjylland;20-29;7794;0
Nordjylland;20-29;2831;0
Sjælland;20-29;4004;0
Syddanmark;20-29;5322;0
;30-39;557;0
Hovedstaden;30-39;15668;4
Midtjylland;30-39;4998;0
Nordjylland;30-39;1835;0
Sjælland;30-39;3810;2
Syddanmark;30-39;3999;0
;40-49;501;0
Hovedstaden;40-49;15116;4
Midtjylland;40-49;5473;1
Nordjylland;40-49;2005;0
Sjælland;40-49;5080;1
Syddanmark;40-49;4648;1
;50-59;323;1
Hovedstaden;50-59;14058;28
Midtjylland;50-59;5601;9
Nordjylland;50-59;2308;3
Sjælland;50-59;5219;8
Syddanmark;50-59;4644;4
;60-69;115;0
Hovedstaden;60-69;7420;109
Midtjylland;60-69;3143;28
Nordjylland;60-69;1501;10
Sjælland;60-69;2911;34
Syddanmark;60-69;2615;16
;70-79;28;0
Hovedstaden;70-79;4682;320
Midtjylland;70-79;1823;86
Nordjylland;70-79;951;60
Sjælland;70-79;1896;103
Syddanmark;70-79;1599;55
;80-89;10;1
Hovedstaden;80-89;2782;512
Midtjylland;80-89;886;149
Nordjylland;80-89;438;62
Sjælland;80-89;958;152
Syddanmark;80-89;709;88
;90+;5;0
Hovedstaden;90+;986;302
Midtjylland;90+;258;68
Nordjylland;90+;125;43
Sjælland;90+;270;88
Syddanmark;90+;164;44
