"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;72;0;0;2;19/03/2021
Hovedstaden;0-9;7693;1;1;103;19/03/2021
Midtjylland;0-9;2783;0;0;21;19/03/2021
Nordjylland;0-9;895;0;0;6;19/03/2021
Sjælland;0-9;1836;0;0;17;19/03/2021
Syddanmark;0-9;2410;0;2;21;19/03/2021
;10-19;84;0;0;0;19/03/2021
Hovedstaden;10-19;15167;0;0;85;19/03/2021
Midtjylland;10-19;6416;0;0;24;19/03/2021
Nordjylland;10-19;2326;0;0;8;19/03/2021
Sjælland;10-19;5097;0;0;38;19/03/2021
Syddanmark;10-19;5382;0;1;16;19/03/2021
;20-29;510;0;0;10;19/03/2021
Hovedstaden;20-29;21518;0;3;272;19/03/2021
Midtjylland;20-29;7794;0;0;74;19/03/2021
Nordjylland;20-29;2831;0;0;34;19/03/2021
Sjælland;20-29;4004;0;0;72;19/03/2021
Syddanmark;20-29;5322;0;4;70;19/03/2021
;30-39;557;0;0;20;19/03/2021
Hovedstaden;30-39;15668;4;2;446;19/03/2021
Midtjylland;30-39;4998;0;1;110;19/03/2021
Nordjylland;30-39;1835;0;1;38;19/03/2021
Sjælland;30-39;3810;2;2;107;19/03/2021
Syddanmark;30-39;3999;0;5;91;19/03/2021
;40-49;501;0;0;27;19/03/2021
Hovedstaden;40-49;15116;4;8;586;19/03/2021
Midtjylland;40-49;5473;1;1;175;19/03/2021
Nordjylland;40-49;2005;0;1;62;19/03/2021
Sjælland;40-49;5080;1;5;214;19/03/2021
Syddanmark;40-49;4648;1;1;142;19/03/2021
;50-59;323;1;2;40;19/03/2021
Hovedstaden;50-59;14058;28;15;896;19/03/2021
Midtjylland;50-59;5601;9;3;333;19/03/2021
Nordjylland;50-59;2308;3;3;103;19/03/2021
Sjælland;50-59;5219;8;8;321;19/03/2021
Syddanmark;50-59;4644;4;11;236;19/03/2021
;60-69;115;0;0;22;19/03/2021
Hovedstaden;60-69;7420;109;7;944;19/03/2021
Midtjylland;60-69;3143;28;2;311;19/03/2021
Nordjylland;60-69;1501;10;2;134;19/03/2021
Sjælland;60-69;2911;34;8;374;19/03/2021
Syddanmark;60-69;2615;16;9;269;19/03/2021
;70-79;28;0;0;10;19/03/2021
Hovedstaden;70-79;4682;320;29;1417;19/03/2021
Midtjylland;70-79;1823;86;2;434;19/03/2021
Nordjylland;70-79;951;60;3;215;19/03/2021
Sjælland;70-79;1896;103;15;541;19/03/2021
Syddanmark;70-79;1599;55;13;343;19/03/2021
;80-89;10;1;0;5;19/03/2021
Hovedstaden;80-89;2782;512;6;1265;19/03/2021
Midtjylland;80-89;886;149;0;305;19/03/2021
Nordjylland;80-89;438;62;0;173;19/03/2021
Sjælland;80-89;958;152;4;449;19/03/2021
Syddanmark;80-89;709;88;7;266;19/03/2021
;90+;5;0;0;0;19/03/2021
Hovedstaden;90+;986;302;3;385;19/03/2021
Midtjylland;90+;258;68;0;77;19/03/2021
Nordjylland;90+;125;43;0;38;19/03/2021
Sjælland;90+;270;88;1;131;19/03/2021
Syddanmark;90+;164;44;0;59;19/03/2021
