"Dato";"Region";"Indlagte"
2020-04-02;Nordjylland;32
2020-04-02;Midtjylland;77
2020-04-02;Syddanmark;83
2020-04-02;Hovedstaden;249
2020-04-02;Sjælland;86
2020-04-03;Nordjylland;29
2020-04-03;Midtjylland;79
2020-04-03;Syddanmark;81
2020-04-03;Hovedstaden;237
2020-04-03;Sjælland;85
2020-04-04;Nordjylland;35
2020-04-04;Midtjylland;79
2020-04-04;Syddanmark;82
2020-04-04;Hovedstaden;225
2020-04-04;Sjælland;77
2020-04-05;Nordjylland;33
2020-04-05;Midtjylland;75
2020-04-05;Syddanmark;76
2020-04-05;Hovedstaden;225
2020-04-05;Sjælland;81
2020-04-06;Nordjylland;36
2020-04-06;Midtjylland;73
2020-04-06;Syddanmark;71
2020-04-06;Hovedstaden;230
2020-04-06;Sjælland;78
2020-04-07;Nordjylland;33
2020-04-07;Midtjylland;70
2020-04-07;Syddanmark;69
2020-04-07;Hovedstaden;216
2020-04-07;Sjælland;78
2020-04-08;Nordjylland;29
2020-04-08;Midtjylland;68
2020-04-08;Syddanmark;64
2020-04-08;Hovedstaden;212
2020-04-08;Sjælland;73
2020-04-09;Nordjylland;24
2020-04-09;Midtjylland;68
2020-04-09;Syddanmark;70
2020-04-09;Hovedstaden;199
2020-04-09;Sjælland;66
2020-04-10;Nordjylland;23
2020-04-10;Midtjylland;65
2020-04-10;Syddanmark;57
2020-04-10;Hovedstaden;197
2020-04-10;Sjælland;56
2020-04-11;Nordjylland;25
2020-04-11;Midtjylland;68
2020-04-11;Syddanmark;55
2020-04-11;Hovedstaden;195
2020-04-11;Sjælland;59
2020-04-12;Nordjylland;27
2020-04-12;Midtjylland;64
2020-04-12;Syddanmark;53
2020-04-12;Hovedstaden;192
2020-04-12;Sjælland;55
2020-04-13;Nordjylland;27
2020-04-13;Midtjylland;63
2020-04-13;Syddanmark;48
2020-04-13;Hovedstaden;187
2020-04-13;Sjælland;56
2020-04-14;Nordjylland;26
2020-04-14;Midtjylland;58
2020-04-14;Syddanmark;42
2020-04-14;Hovedstaden;191
2020-04-14;Sjælland;57
2020-04-15;Nordjylland;22
2020-04-15;Midtjylland;56
2020-04-15;Syddanmark;37
2020-04-15;Hovedstaden;184
2020-04-15;Sjælland;56
2020-04-16;Nordjylland;21
2020-04-16;Midtjylland;54
2020-04-16;Syddanmark;33
2020-04-16;Hovedstaden;176
2020-04-16;Sjælland;57
2020-04-17;Nordjylland;20
2020-04-17;Midtjylland;55
2020-04-17;Syddanmark;31
2020-04-17;Hovedstaden;177
2020-04-17;Sjælland;54
2020-04-18;Nordjylland;19
2020-04-18;Midtjylland;47
2020-04-18;Syddanmark;30
2020-04-18;Hovedstaden;157
2020-04-18;Sjælland;51
2020-04-19;Nordjylland;18
2020-04-19;Midtjylland;44
2020-04-19;Syddanmark;30
2020-04-19;Hovedstaden;159
2020-04-19;Sjælland;52
2020-04-20;Nordjylland;16
2020-04-20;Midtjylland;46
2020-04-20;Syddanmark;29
2020-04-20;Hovedstaden;169
2020-04-20;Sjælland;61
2020-04-21;Nordjylland;14
2020-04-21;Midtjylland;47
2020-04-21;Syddanmark;28
2020-04-21;Hovedstaden;174
2020-04-21;Sjælland;52
2020-04-22;Nordjylland;13
2020-04-22;Midtjylland;47
2020-04-22;Syddanmark;26
2020-04-22;Hovedstaden;169
2020-04-22;Sjælland;54
2020-04-23;Nordjylland;14
2020-04-23;Midtjylland;45
2020-04-23;Syddanmark;24
2020-04-23;Hovedstaden;166
2020-04-23;Sjælland;54
2020-04-24;Nordjylland;13
2020-04-24;Midtjylland;47
2020-04-24;Syddanmark;22
2020-04-24;Hovedstaden;165
2020-04-24;Sjælland;56
2020-04-25;Nordjylland;12
2020-04-25;Midtjylland;40
2020-04-25;Syddanmark;23
2020-04-25;Hovedstaden;146
2020-04-25;Sjælland;55
2020-04-26;Nordjylland;13
2020-04-26;Midtjylland;40
2020-04-26;Syddanmark;20
2020-04-26;Hovedstaden;144
2020-04-26;Sjælland;56
2020-04-27;Nordjylland;13
2020-04-27;Midtjylland;42
2020-04-27;Syddanmark;20
2020-04-27;Hovedstaden;158
2020-04-27;Sjælland;60
2020-04-28;Nordjylland;12
2020-04-28;Midtjylland;35
2020-04-28;Syddanmark;17
2020-04-28;Hovedstaden;150
2020-04-28;Sjælland;57
2020-04-29;Nordjylland;10
2020-04-29;Midtjylland;34
2020-04-29;Syddanmark;13
2020-04-29;Hovedstaden;143
2020-04-29;Sjælland;54
2020-04-30;Nordjylland;12
2020-04-30;Midtjylland;31
2020-04-30;Syddanmark;11
2020-04-30;Hovedstaden;132
2020-04-30;Sjælland;50
2020-05-01;Nordjylland;12
2020-05-01;Midtjylland;29
2020-05-01;Syddanmark;12
2020-05-01;Hovedstaden;126
2020-05-01;Sjælland;50
2020-05-02;Nordjylland;12
2020-05-02;Midtjylland;25
2020-05-02;Syddanmark;12
2020-05-02;Hovedstaden;121
2020-05-02;Sjælland;44
2020-05-03;Nordjylland;11
2020-05-03;Midtjylland;28
2020-05-03;Syddanmark;11
2020-05-03;Hovedstaden;128
2020-05-03;Sjælland;47
2020-05-04;Nordjylland;11
2020-05-04;Midtjylland;27
2020-05-04;Syddanmark;11
2020-05-04;Hovedstaden;131
2020-05-04;Sjælland;48
2020-05-05;Nordjylland;10
2020-05-05;Midtjylland;26
2020-05-05;Syddanmark;10
2020-05-05;Hovedstaden;123
2020-05-05;Sjælland;40
2020-05-06;Nordjylland;9
2020-05-06;Midtjylland;22
2020-05-06;Syddanmark;9
2020-05-06;Hovedstaden;115
2020-05-06;Sjælland;35
2020-05-07;Nordjylland;9
2020-05-07;Midtjylland;20
2020-05-07;Syddanmark;8
2020-05-07;Hovedstaden;107
2020-05-07;Sjælland;34
2020-05-08;Nordjylland;9
2020-05-08;Midtjylland;18
2020-05-08;Syddanmark;8
2020-05-08;Hovedstaden;110
2020-05-08;Sjælland;38
2020-05-09;Nordjylland;9
2020-05-09;Midtjylland;13
2020-05-09;Syddanmark;8
2020-05-09;Hovedstaden;100
2020-05-09;Sjælland;39
2020-05-10;Nordjylland;8
2020-05-10;Midtjylland;14
2020-05-10;Syddanmark;8
