"Indlæggelsesdato";"Indlæggelser"
2020-02-26;0
2020-02-27;0
2020-02-28;0
2020-03-01;1
2020-03-02;0
2020-03-03;1
2020-03-04;0
2020-03-05;1
2020-03-06;4
2020-03-07;0
2020-03-08;3
2020-03-09;9
2020-03-10;15
2020-03-11;10
2020-03-12;18
2020-03-13;26
2020-03-14;24
2020-03-15;33
2020-03-16;45
2020-03-17;47
2020-03-18;47
2020-03-19;50
2020-03-20;64
2020-03-21;34
2020-03-22;42
2020-03-23;85
2020-03-24;81
2020-03-25;92
2020-03-26;82
2020-03-27;88
2020-03-28;83
2020-03-29;52
2020-03-30;69
2020-03-31;51
2020-04-01;61
2020-04-02;72
2020-04-03;72
2020-04-04;44
2020-04-05;36
2020-04-06;51
2020-04-07;56
2020-04-08;28
2020-04-09;34
2020-04-10;34
2020-04-11;31
2020-04-12;27
2020-04-13;30
2020-04-14;45
2020-04-15;30
2020-04-16;33
2020-04-17;27
2020-04-18;27
2020-04-19;34
2020-04-20;33
2020-04-21;38
2020-04-22;29
2020-04-23;33
2020-04-24;22
2020-04-25;27
2020-04-26;26
2020-04-27;21
2020-04-28;15
2020-04-29;15
2020-04-30;17
2020-05-01;16
2020-05-02;24
2020-05-03;16
2020-05-04;15
2020-05-05;16
2020-05-06;6
2020-05-07;15
2020-05-08;9
2020-05-09;10
2020-05-10;10
2020-05-11;8
2020-05-12;8
2020-05-13;6
2020-05-14;13
2020-05-15;17
2020-05-16;5
2020-05-17;4
2020-05-18;14
2020-05-19;7
2020-05-20;7
2020-05-21;6
2020-05-22;13
2020-05-23;9
2020-05-24;2
2020-05-25;6
2020-05-26;11
2020-05-27;7
2020-05-28;5
2020-05-29;9
2020-05-30;7
2020-05-31;4
2020-06-01;5
2020-06-02;6
2020-06-03;3
2020-06-04;5
2020-06-05;9
2020-06-06;2
2020-06-07;4
2020-06-08;5
2020-06-09;1
2020-06-10;1
2020-06-11;1
2020-06-12;6
2020-06-13;4
2020-06-14;1
2020-06-15;2
2020-06-16;7
2020-06-17;5
2020-06-18;2
2020-06-19;4
2020-06-20;4
2020-06-21;4
2020-06-22;5
2020-06-23;4
2020-06-24;6
2020-06-25;5
2020-06-26;1
2020-06-27;4
2020-06-28;6
2020-06-29;3
2020-06-30;0
2020-07-01;2
2020-07-02;4
2020-07-03;1
2020-07-04;0
2020-07-05;2
2020-07-06;2
2020-07-07;2
2020-07-08;1
2020-07-09;3
2020-07-10;3
2020-07-11;5
2020-07-12;0
2020-07-13;0
2020-07-14;3
2020-07-15;3
2020-07-16;1
2020-07-17;3
2020-07-18;2
2020-07-19;2
2020-07-20;3
2020-07-21;2
2020-07-22;4
2020-07-23;1
2020-07-24;2
2020-07-25;5
2020-07-26;2
2020-07-27;3
2020-07-28;2
2020-07-29;6
2020-07-30;5
2020-07-31;3
2020-08-01;4
2020-08-02;2
2020-08-03;7
2020-08-04;5
2020-08-05;7
2020-08-06;3
2020-08-07;5
2020-08-08;3
2020-08-09;2
2020-08-10;4
2020-08-11;3
2020-08-12;3
2020-08-13;4
2020-08-14;6
2020-08-15;2
2020-08-16;5
2020-08-17;8
2020-08-18;1
2020-08-19;6
2020-08-20;7
2020-08-21;5
2020-08-22;3
2020-08-23;4
2020-08-24;3
2020-08-25;3
2020-08-26;8
2020-08-27;1
2020-08-28;4
2020-08-29;1
2020-08-30;3
2020-08-31;6
2020-09-01;1
2020-09-02;5
2020-09-03;4
2020-09-04;8
2020-09-05;12
2020-09-06;9
2020-09-07;7
2020-09-08;6
2020-09-09;13
2020-09-10;14
2020-09-11;11
2020-09-12;17
2020-09-13;10
2020-09-14;13
2020-09-15;14
2020-09-16;21
2020-09-17;13
2020-09-18;14
2020-09-19;24
2020-09-20;19
2020-09-21;21
2020-09-22;14
2020-09-23;24
2020-09-24;26
2020-09-25;18
2020-09-26;12
2020-09-27;19
2020-09-28;21
2020-09-29;14
2020-09-30;20
2020-10-01;23
2020-10-02;19
2020-10-03;11
2020-10-04;21
2020-10-05;30
2020-10-06;10
2020-10-07;16
2020-10-08;9
2020-10-09;15
2020-10-10;15
2020-10-11;14
2020-10-12;24
2020-10-13;19
2020-10-14;22
2020-10-15;21
2020-10-16;21
2020-10-17;15
2020-10-18;24
2020-10-19;25
2020-10-20;19
2020-10-21;25
2020-10-22;18
2020-10-23;27
2020-10-24;22
2020-10-25;27
2020-10-26;32
2020-10-27;35
2020-10-28;30
2020-10-29;37
2020-10-30;33
2020-10-31;40
2020-11-01;38
2020-11-02;40
2020-11-03;41
2020-11-04;52
2020-11-05;49
2020-11-06;32
2020-11-07;29
2020-11-08;39
2020-11-09;56
2020-11-10;37
2020-11-11;49
2020-11-12;34
2020-11-13;39
2020-11-14;34
2020-11-15;32
2020-11-16;50
2020-11-17;63
2020-11-18;46
2020-11-19;42
2020-11-20;42
2020-11-21;32
2020-11-22;40
2020-11-23;48
2020-11-24;39
2020-11-25;47
2020-11-26;49
2020-11-27;30
2020-11-28;31
2020-11-29;34
2020-11-30;45
2020-12-01;50
2020-12-02;54
2020-12-03;54
2020-12-04;55
2020-12-05;65
2020-12-06;69
