"uge";"Region Hovedstaden";"Statens Serum Institut";"Region Midtjylland";"Region Nordjylland";"Region Sjælland";"Region Syddanmark";"Test center Danmark";"_9018";"_9006";"_9041";"_9003";"_9010";"_9014";"_9027";"_9011";"_9005";"_9020";"_9026";"_9034";"_9036";"_9021";"_9019";"_9022";"Sundhedsspor";"Samfundsspor";"Total"
2020-W05;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-W07;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-W08;;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-W09;20;247;67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2020-W10;266;86;235;59;94;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;806;0;0
2020-W11;1648;2;1478;361;695;783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4967;0;0
2020-W12;2647;27;1827;441;965;1459;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7366;0;0
2020-W13;4278;513;1365;725;1379;1783;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10043;0;0
2020-W14;12590;568;4652;2465;3276;4764;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28315;0;0
2020-W15;12253;437;4923;2609;2729;4691;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27642;49;27691
2020-W16;12050;575;5159;2354;2950;5047;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28135;34;28169
2020-W17;24575;551;13330;8624;11613;13538;6090;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72231;6090;78321
2020-W18;29847;327;18241;8026;13018;16364;15026;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;85823;15026;100849
2020-W19;29345;154;13308;5420;11259;11780;15251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71266;15251;86517
2020-W20;30585;62;14914;5827;10234;13884;11282;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75506;11282;86788
2020-W21;23706;13;11199;4648;7925;10812;24935;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58303;24935;83238
2020-W22;22247;19;10178;4175;7127;9577;35752;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53323;35752;89075
2020-W23;20126;9;9032;3804;6935;9205;26380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49111;26380;75491
2020-W24;25881;15;12552;5395;8828;12603;31117;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65274;31117;96391
2020-W25;28345;5;13285;8096;9319;14268;40363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73318;40363;113681
2020-W26;27015;3;12961;6851;9476;13625;44478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69931;44478;114409
2020-W27;22917;4;11154;5960;7103;11552;45039;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58690;45039;103729
2020-W28;21147;2;10240;5712;6645;10736;43800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54482;43800;98282
