"Kommune";"Bekræftede tilfælde de seneste 7 dage";"Testede de seneste 7 dage";"Positivprocent 7 dage"
101;915;97973;0,93
147;124;13510;0,92
151;78;10547;0,74
153;77;5658;1,36
155;15;2449;0,61
157;49;9883;0,50
159;129;12348;1,04
161;43;4047;1,06
163;26;4651;0,56
165;59;4135;1,43
167;75;9094;0,82
169;132;10404;1,27
173;55;7713;0,71
175;77;5923;1,30
183;89;4956;1,80
185;49;8037;0,61
187;20;2892;0,69
190;52;7776;0,67
201;16;4192;0,38
210;72;5809;1,24
217;102;8059;1,27
219;42;9748;0,43
223;43;3120;1,38
230;40;7493;0,53
240;40;8165;0,49
250;43;6008;0,72
253;71;8773;0,81
259;64;8040;0,80
260;82;4724;1,74
265;56;15562;0,36
269;22;4197;0,52
270;25;5332;0,47
306;10;3430;0,29
316;52;10832;0,48
320;21;5013;0,42
326;15;4811;0,31
329;32;4134;0,77
330;44;11370;0,39
336;13;2632;0,49
340;10;3983;0,25
350;15;4851;0,31
360;38;5884;0,65
370;36;14018;0,26
376;14;8591;0,16
390;11;5740;0,19
400;2;5786;0,03
410;16;6308;0,25
411;0;4;0,00
420;13;5114;0,25
430;27;7654;0,35
440;16;4583;0,35
450;19;5907;0,32
461;199;39541;0,50
479;58;14893;0,39
480;16;3599;0,44
482;2;1526;0,13
492;0;642;0,00
510;19;6853;0,28
530;24;4690;0,51
540;26;12395;0,21
550;17;4787;0,36
561;106;17551;0,60
563;1;588;0,17
573;11;5292;0,21
575;19;5680;0,33
580;31;11605;0,27
607;28;8029;0,35
615;70;14398;0,49
621;60;17282;0,35
630;134;19511;0,69
657;34;12508;0,27
661;6;9329;0,06
665;6;2412;0,25
671;2;3037;0,07
706;12;4992;0,24
707;10;3792;0,26
710;28;8288;0,34
727;10;3346;0,30
730;128;13659;0,94
740;42;13258;0,32
741;0;193;0,00
746;22;11138;0,20
751;206;52557;0,39
756;8;5742;0,14
760;24;6832;0,35
766;22;7470;0,29
773;13;2240;0,58
779;4;5490;0,07
787;14;6479;0,22
791;49;13790;0,36
810;9;4813;0,19
813;36;10428;0,35
820;20;4651;0,43
825;0;166;0,00
840;6;4297;0,14
846;34;6368;0,53
849;11;4966;0,22
851;104;37779;0,28
860;32;11074;0,29
