"Region";"Aldersgruppe";"Bekræftede tilfælde";"Døde";"Indlagte på intensiv afdeling";"Indlagte";"Dato"
;0-9;2;0;0;0;03/04/2021
Hovedstaden;0-9;283;0;0;6;03/04/2021
Midtjylland;0-9;75;0;0;0;03/04/2021
Nordjylland;0-9;22;0;0;0;03/04/2021
Sjælland;0-9;45;0;0;1;03/04/2021
Syddanmark;0-9;122;0;0;1;03/04/2021
;10-19;2;0;0;0;03/04/2021
Hovedstaden;10-19;337;0;0;1;03/04/2021
Midtjylland;10-19;135;0;1;1;03/04/2021
Nordjylland;10-19;44;0;0;0;03/04/2021
Sjælland;10-19;67;0;0;0;03/04/2021
Syddanmark;10-19;153;0;0;1;03/04/2021
;20-29;13;0;0;1;03/04/2021
Hovedstaden;20-29;524;0;1;5;03/04/2021
Midtjylland;20-29;105;0;1;2;03/04/2021
Nordjylland;20-29;61;0;0;1;03/04/2021
Sjælland;20-29;77;0;0;2;03/04/2021
Syddanmark;20-29;139;0;0;1;03/04/2021
;30-39;16;0;0;0;03/04/2021
Hovedstaden;30-39;416;0;0;6;03/04/2021
Midtjylland;30-39;123;0;1;2;03/04/2021
Nordjylland;30-39;44;0;0;0;03/04/2021
Sjælland;30-39;83;0;0;2;03/04/2021
Syddanmark;30-39;116;0;1;2;03/04/2021
;40-49;23;0;0;2;03/04/2021
Hovedstaden;40-49;406;0;5;14;03/04/2021
Midtjylland;40-49;92;0;2;3;03/04/2021
Nordjylland;40-49;44;0;0;0;03/04/2021
Sjælland;40-49;82;0;1;2;03/04/2021
Syddanmark;40-49;107;0;4;4;03/04/2021
;50-59;13;0;0;0;03/04/2021
Hovedstaden;50-59;312;0;2;6;03/04/2021
Midtjylland;50-59;87;0;4;8;03/04/2021
Nordjylland;50-59;41;0;0;1;03/04/2021
Sjælland;50-59;92;0;1;2;03/04/2021
Syddanmark;50-59;109;0;3;4;03/04/2021
;60-69;2;0;1;1;03/04/2021
Hovedstaden;60-69;168;0;4;9;03/04/2021
Midtjylland;60-69;42;0;3;7;03/04/2021
Nordjylland;60-69;14;0;0;0;03/04/2021
Sjælland;60-69;44;1;1;2;03/04/2021
Syddanmark;60-69;53;0;3;3;03/04/2021
;70-79;1;0;0;1;03/04/2021
Hovedstaden;70-79;93;0;10;13;03/04/2021
Midtjylland;70-79;21;0;2;5;03/04/2021
Nordjylland;70-79;8;0;1;1;03/04/2021
Sjælland;70-79;28;0;5;6;03/04/2021
Syddanmark;70-79;30;0;6;7;03/04/2021
Hovedstaden;80-89;27;3;5;10;03/04/2021
Midtjylland;80-89;3;0;1;2;03/04/2021
Nordjylland;80-89;1;0;0;0;03/04/2021
Sjælland;80-89;5;0;0;1;03/04/2021
Syddanmark;80-89;12;0;3;3;03/04/2021
Hovedstaden;90+;5;0;1;1;03/04/2021
Sjælland;90+;1;0;0;0;03/04/2021
Syddanmark;90+;1;1;0;1;03/04/2021
