gruppe1;Antal_Kategori;Uge 10;Uge 11;Uge 12;Uge 13;Uge 14;Uge 15;Uge 16;Uge 17;Uge 18;Uge 19;Uge 20;Uge 21;Uge 22;Uge 23;Uge 24;Uge 25;Uge 26;Uge 27;Uge 28;Uge 29;Uge 30;Uge 31;Uge 32;Uge 33;Uge 34;Uge 35;Uge 36;Uge 37;Uge 38;Uge 39;Uge 40;Uge 41;Uge 42;Uge 43;Uge 44;Uge 45;Uge 46;Uge 47;Uge 48;Uge 49;Uge 50
A Landbrug, skovbrug og fiskeri; 41.980 ;; 1-4; 1-4; 1-4;         8;        11;        12;        14;        15;        16;        17;        17;        17;        17;        17;        19;        20;        20;        20;        20;        20;        23;        27;        31;        32;        37;        43;        59;        75;       100;       133;       177;       218;       291;       373;       427;       514;       670;       730;       766;       838
B Råstofindvinding; 4.132 ;; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4; 1-4;         5;         5;         7;        13;        19;        19;        20;        21;        22;        22;        24;        26;        33;        39;        40;        52
C Industri; 298.964 ; 1-4;        56;        66;        87;       135;       188;       217;       252;       288;       304;       313;       326;       333;       344;       361;       380;       389;       395;       402;       413;       423;       519;       607;       647;       668;       689;       736;       834;       940;     1.079;     1.224;     1.502;     1.783;     2.109;     2.551;     2.943;     3.293;     3.711;     4.143;     4.634;     5.446
D Energiforsyning; 11.342 ;         0;         8;         9;        10;        13;        14;        14;        14;        15;        16;        16;        16;        16;        17;        18;        19;        20;        20;        20;        20;        20;        20;        21;        22;        22;        22;        24;        24;        28;        34;        38;        42;        49;        64;        74;        81;        93;       109;       124;       148;       184
E Vandforsyning og renovation; 11.911 ;         0; 1-4; 1-4;         9;        10;        13;        16;        19;        20;        20;        20;        20;        20;        20;        21;        23;        24;        24;        24;        24;        24;        24;        24;        26;        26;        26;        28;        31;        35;        42;        45;        49;        56;        58;        68;        77;        97;       114;       127;       146;       172
F Bygge og anlæg; 171.507 ; 1-4;        81;        83;        94;       118;       140;       153;       164;       181;       196;       203;       211;       217;       220;       225;       232;       236;       236;       239;       243;       245;       249;       257;       268;       275;       293;       305;       354;       422;       510;       594;       680;       818;       968;     1.171;     1.364;     1.551;     1.790;     2.021;     2.366;     2.866
G Handel; 424.216 ; 1-4;       122;       140;       178;       266;       348;       421;       521;       586;       620;       670;       704;       727;       743;       758;       767;       788;       795;       805;       825;       846;       876;       926;     1.001;     1.049;     1.105;     1.215;     1.414;     1.761;     2.145;     2.434;     2.685;     2.944;     3.476;     4.202;     4.766;     5.360;     6.068;     6.772;     7.847;     9.742
H Transport; 128.524 ; 1-4;        24;        27;        49;        98;       140;       156;       183;       202;       216;       233;       240;       251;       259;       264;       276;       283;       286;       293;       306;       313;       332;       375;       412;       427;       447;       498;       565;       653;       739;       823;       887;       943;     1.086;     1.255;     1.504;     1.671;     1.868;     2.049;     2.311;     2.748
I Hoteller og restauranter; 111.476 ; 1-4;         9;        13;        14;        21;        37;        48;        61;        69;        81;        89;        94;       101;       107;       114;       120;       122;       125;       131;       134;       140;       152;       182;       219;       249;       271;       307;       374;       494;       636;       713;       800;       871;     1.073;     1.287;     1.502;     1.701;     1.996;     2.291;     2.662;     3.399
J Information og kommunikation; 108.446 ; 1-4;        44;        54;        69;        85;       105;       122;       140;       160;       168;       181;       190;       196;       203;       208;       219;       225;       232;       234;       237;       240;       253;       279;       299;       310;       325;       355;       400;       489;       566;       630;       682;       733;       864;     1.031;     1.169;     1.297;     1.462;     1.649;     1.956;     2.571
