Uge, Positive, Døde_pos, Plejehjem_pos, Testede, Plejehjem_test
11,7,0,6,110,102
12,24,3,16,231,182
13,66,15,29,378,240
14,144,34,43,981,340
15,84,37,34,574,302
16,76,30,34,705,311
17,81,26,36,1762,399
18,39,25,23,1862,420
19,19,19,14,1370,377
20,11,9,9,712,350
21,7,3,4,631,334
22,10,4,3,493,272
23,3,4,2,425,287
24,15,1,2,493,278
25,7,1,5,846,307
26,2,2,2,483,304
27,4,1,3,626,302
28,1,1,1,405,256
29,5,0,2,417,267
30,2,1,2,475,237
31,0,0,0,452,245
32,1,2,1,430,278
33,0,1,0,473,265
34,1,0,1,398,266
35,0,0,0,369,221
36,3,0,3,412,242
37,15,0,8,633,287
38,19,5,8,757,276
39,21,3,10,786,270
40,11,5,5,544,266
41,13,3,11,476,238
42,14,7,8,471,215
43,31,7,13,712,229
44,29,2,17,963,238
45,31,8,19,745,236
46,50,7,20,761,230
47,84,10,28,1389,253,
48,90,11,24,934,218
49,116,19,34,1002,233
50,199,20,57,1173,263
