Date;NewPositive;NotPrevPos;ix
2020-03-15;  45;   722;0,448989801
2020-03-16;  74;  1010;0,583722936
2020-03-17;  76;   935;0,632769394
2020-03-18;  83;  1216;0,574942734
2020-03-19; 107;  1833;0,556121970
2020-03-20; 103;  1171;0,732567079
2020-03-21;  48;   597;0,547090540
2020-03-22;  62;   523;0,775247737
2020-03-23; 132;  1118;0,969760898
2020-03-24; 139;  1118;1,021187612
2020-03-25; 151;  1360;0,967163084
2020-03-26; 171;  1596;0,979203798
2020-03-27; 217;  2096;1,026799950
2020-03-28; 200;  1370;1,274458208
2020-03-29; 128;  1278;0,856324505
2020-03-30; 313;  3191;1,103559045
2020-03-31; 255;  3192;0,898868503
2020-04-01; 282;  3521;0,928074608
2020-04-02; 382;  5721;0,895020535
2020-04-03; 473;  6565;1,006460719
2020-04-04; 312;  3665;0,998395946
2020-04-05; 158;  2169;0,729920230
2020-04-06; 424;  6481;0,910366864
2020-04-07; 347;  6296;0,760298566
2020-04-08; 301;  5553;0,720107152
2020-04-09; 140;  2486;0,587864519
2020-04-10; 142;  2273;0,634846514
2020-04-11; 140;  2164;0,647810460
2020-04-12; 157;  2083;0,746134572
2020-04-13; 156;  2075;0,743381806
2020-04-14; 258;  6079;0,579344923
2020-04-15; 199;  5506;0,478925247
2020-04-16; 178;  5210;0,445280417
2020-04-17; 168;  4682;0,452905188
2020-04-18; 106;  2211;0,483163085
2020-04-19; 114;  1804;0,599155124
2020-04-20; 215;  6527;0,459344934
2020-04-21; 202;  9642;0,328423618
2020-04-22; 229; 11446;0,330200604
2020-04-23; 232; 12311;0,317894236
2020-04-24; 165; 14656;0,200111996
2020-04-25; 136; 12330;0,186150735
2020-04-26; 121; 10210;0,189002414
2020-04-27; 219; 17177;0,237673627
2020-04-28; 136; 16118;0,154319605
2020-04-29; 140; 15905;0,160344646
2020-04-30; 149; 15791;0,171513980
2020-05-01; 152; 14322;0,187344531
2020-05-02; 117; 11070;0,172696099
2020-05-03;  78;  8906;0,134065403
2020-05-04; 124; 17670;0,131933809
2020-05-05; 123; 15862;0,141141442
2020-05-06; 107; 14364;0,131610640
2020-05-07; 123; 14249;0,152144424
2020-05-08;  69;  8272;0,124888291
2020-05-09;  66;  8177;0,120428184
2020-05-10;  60;  6628;0,126818759
2020-05-11;  79; 16277;0,089027676
2020-05-12;  58; 14654;0,070349119
2020-05-13;  71; 14578;0,086431050
2020-05-14;  64; 12883;0,084950917
2020-05-15;  91; 12526;0,123189221
2020-05-16;  35;  7650;0,066912158
2020-05-17;  50;  7041;0,101303853
2020-05-18;  82; 15108;0,097357400
2020-05-19;  63; 14782;0,075949918
2020-05-20;  72; 14289;0,088885560
2020-05-21;  31;  8426;0,055389402
2020-05-22;  73; 12203;0,100645933
