Year;Quarter;Age;Sex;Population
2008;1;  0;Male;32976
2008;2;  0;Male;33213
2008;3;  0;Male;33301
2008;4;  0;Male;33672
2009;1;  0;Male;33656
2009;2;  0;Male;33467
2009;3;  0;Male;33373
2009;4;  0;Male;32821
2010;1;  0;Male;32435
2010;2;  0;Male;32611
2010;3;  0;Male;32608
2010;4;  0;Male;32575
2011;1;  0;Male;32628
2011;2;  0;Male;31922
2011;3;  0;Male;31355
2011;4;  0;Male;30912
2012;1;  0;Male;30184
2012;2;  0;Male;30079
2012;3;  0;Male;29933
2012;4;  0;Male;29797
2013;1;  0;Male;29991
2013;2;  0;Male;29685
2013;3;  0;Male;29591
2013;4;  0;Male;29243
2014;1;  0;Male;28751
2014;2;  0;Male;28720
2014;3;  0;Male;28747
2014;4;  0;Male;29078
2015;1;  0;Male;29375
2015;2;  0;Male;29381
2015;3;  0;Male;29360
2015;4;  0;Male;29668
2016;1;  0;Male;30049
2016;2;  0;Male;30514
2016;3;  0;Male;31149
2016;4;  0;Male;31818
2017;1;  0;Male;31971
2017;2;  0;Male;31978
2017;3;  0;Male;32001
2017;4;  0;Male;31580
2018;1;  0;Male;31624
2018;2;  0;Male;31765
2018;3;  0;Male;31900
2018;4;  0;Male;31860
2019;1;  0;Male;31754
2019;2;  0;Male;31459
2019;3;  0;Male;31471
2019;4;  0;Male;31686
2020;1;  0;Male;31649
2020;2;  0;Male;31722
2020;3;  0;Male;31512
2020;4;  0;Male;31397
2021;1;  0;Male;31303
2021;2;  0;Male;31649
2021;3;  0;Male;31870
2021;4;  0;Male;32068
2008;1;  1;Male;33797
2008;2;  1;Male;33680
2008;3;  1;Male;33391
2008;4;  1;Male;33009
2009;1;  1;Male;33212
2009;2;  1;Male;33466
2009;3;  1;Male;33573
2009;4;  1;Male;33984
2010;1;  1;Male;33984
2010;2;  1;Male;33767
2010;3;  1;Male;33697
2010;4;  1;Male;33118
2011;1;  1;Male;32714
2011;2;  1;Male;32808
2011;3;  1;Male;32846
2011;4;  1;Male;32815
2012;1;  1;Male;32854
2012;2;  1;Male;32148
2012;3;  1;Male;31577
2012;4;  1;Male;31117
2013;1;  1;Male;30402
2013;2;  1;Male;30328
2013;3;  1;Male;30199
2013;4;  1;Male;30050
2014;1;  1;Male;30273
2014;2;  1;Male;29968
2014;3;  1;Male;29857
2014;4;  1;Male;29542
2015;1;  1;Male;29064
2015;2;  1;Male;29065
2015;3;  1;Male;29093
2015;4;  1;Male;29411
2016;1;  1;Male;29750
2016;2;  1;Male;29838
2016;3;  1;Male;29788
2016;4;  1;Male;29998
2017;1;  1;Male;30364
2017;2;  1;Male;30809
2017;3;  1;Male;31427
2017;4;  1;Male;32068
2018;1;  1;Male;32226
2018;2;  1;Male;32170
2018;3;  1;Male;32159
2018;4;  1;Male;31727
2019;1;  1;Male;31799
2019;2;  1;Male;31947
2019;3;  1;Male;32066
2019;4;  1;Male;32004
2020;1;  1;Male;31880
2020;2;  1;Male;31585
2020;3;  1;Male;31586
2020;4;  1;Male;31786
2021;1;  1;Male;31758
2021;2;  1;Male;31863
2021;3;  1;Male;31672
2021;4;  1;Male;31572
2008;1;  2;Male;33129
2008;2;  2;Male;33255
2008;3;  2;Male;33456
2008;4;  2;Male;33755
2009;1;  2;Male;33943
2009;2;  2;Male;33763
2009;3;  2;Male;33499
2009;4;  2;Male;33177
2010;1;  2;Male;33380
2010;2;  2;Male;33642
2010;3;  2;Male;33755
2010;4;  2;Male;34180
2011;1;  2;Male;34125
2011;2;  2;Male;33934
2011;3;  2;Male;33836
2011;4;  2;Male;33200
2012;1;  2;Male;32813
2012;2;  2;Male;32935
2012;3;  2;Male;32990
2012;4;  2;Male;32972
2013;1;  2;Male;33032
2013;2;  2;Male;32319
2013;3;  2;Male;31729
2013;4;  2;Male;31302
2014;1;  2;Male;30596
2014;2;  2;Male;30490
2014;3;  2;Male;30361
2014;4;  2;Male;30251
2015;1;  2;Male;30485
2015;2;  2;Male;30181
2015;3;  2;Male;30162
2015;4;  2;Male;29882
2016;1;  2;Male;29459
2016;2;  2;Male;29379
2016;3;  2;Male;29386
2016;4;  2;Male;29745
2017;1;  2;Male;30069
2017;2;  2;Male;30100
2017;3;  2;Male;30008
2017;4;  2;Male;30230
2018;1;  2;Male;30524
2018;2;  2;Male;30978
2018;3;  2;Male;31570
2018;4;  2;Male;32196
2019;1;  2;Male;32318
2019;2;  2;Male;32257
2019;3;  2;Male;32268
2019;4;  2;Male;31816
2020;1;  2;Male;31833
2020;2;  2;Male;31950
2020;3;  2;Male;32054
2020;4;  2;Male;32024
2021;1;  2;Male;31909
2021;2;  2;Male;31595
2021;3;  2;Male;31663
2021;4;  2;Male;31873
2008;1;  3;Male;33280
2008;2;  3;Male;33201
2008;3;  3;Male;33377
2008;4;  3;Male;33455
2009;1;  3;Male;33253
2009;2;  3;Male;33375
2009;3;  3;Male;33557
2009;4;  3;Male;33843
2010;1;  3;Male;34034
2010;2;  3;Male;33885
2010;3;  3;Male;33625
2010;4;  3;Male;33278
2011;1;  3;Male;33490
2011;2;  3;Male;33759
2011;3;  3;Male;33839
2011;4;  3;Male;34285
2012;1;  3;Male;34207
2012;2;  3;Male;34027
2012;3;  3;Male;33939
2012;4;  3;Male;33302
2013;1;  3;Male;32921
2013;2;  3;Male;33057
2013;3;  3;Male;33134
2013;4;  3;Male;33109
2014;1;  3;Male;33151
2014;2;  3;Male;32439
2014;3;  3;Male;31874
2014;4;  3;Male;31470
2015;1;  3;Male;30753
2015;2;  3;Male;30706
2015;3;  3;Male;30625
2015;4;  3;Male;30546
2016;1;  3;Male;30834
2016;2;  3;Male;30566
2016;3;  3;Male;30465
2016;4;  3;Male;30169
2017;1;  3;Male;29675
2017;2;  3;Male;29569
2017;3;  3;Male;29581
2017;4;  3;Male;29909
2018;1;  3;Male;30231
2018;2;  3;Male;30192
2018;3;  3;Male;30101
2018;4;  3;Male;30304
2019;1;  3;Male;30563
2019;2;  3;Male;30999
2019;3;  3;Male;31612
2019;4;  3;Male;32230
2020;1;  3;Male;32347
2020;2;  3;Male;32278
2020;3;  3;Male;32271
2020;4;  3;Male;31816
2021;1;  3;Male;31852
2021;2;  3;Male;32009
2021;3;  3;Male;32100
2021;4;  3;Male;32072
2008;1;  4;Male;33398
2008;2;  4;Male;33566
2008;3;  4;Male;33635
2008;4;  4;Male;33306
2009;1;  4;Male;33421
2009;2;  4;Male;33298
2009;3;  4;Male;33462
2009;4;  4;Male;33519
2010;1;  4;Male;33339
2010;2;  4;Male;33448
2010;3;  4;Male;33638
2010;4;  4;Male;33923
2011;1;  4;Male;34127
2011;2;  4;Male;33960
2011;3;  4;Male;33684
2011;4;  4;Male;33323
2012;1;  4;Male;33582
2012;2;  4;Male;33828
2012;3;  4;Male;33902
2012;4;  4;Male;34345
2013;1;  4;Male;34325
2013;2;  4;Male;34118
2013;3;  4;Male;34002
2013;4;  4;Male;33372
2014;1;  4;Male;33021
2014;2;  4;Male;33162
2014;3;  4;Male;33258
2014;4;  4;Male;33241
2015;1;  4;Male;33324
2015;2;  4;Male;32660
2015;3;  4;Male;32137
2015;4;  4;Male;31756
2016;1;  4;Male;31038
2016;2;  4;Male;31020
2016;3;  4;Male;30890
2016;4;  4;Male;30845
2017;1;  4;Male;31101
2017;2;  4;Male;30785
2017;3;  4;Male;30648
2017;4;  4;Male;30292
2018;1;  4;Male;29754
2018;2;  4;Male;29655
2018;3;  4;Male;29637
2018;4;  4;Male;29947
2019;1;  4;Male;30260
2019;2;  4;Male;30227
2019;3;  4;Male;30095
2019;4;  4;Male;30323
2020;1;  4;Male;30577
2020;2;  4;Male;31035
2020;3;  4;Male;31618
2020;4;  4;Male;32256
2021;1;  4;Male;32402
2021;2;  4;Male;32342
2021;3;  4;Male;32311
2021;4;  4;Male;31861
2008;1;  5;Male;33269
2008;2;  5;Male;33163
2008;3;  5;Male;33028
2008;4;  5;Male;33479
2009;1;  5;Male;33513
2009;2;  5;Male;33673
2009;3;  5;Male;33735
2009;4;  5;Male;33372
2010;1;  5;Male;33465
2010;2;  5;Male;33366
2010;3;  5;Male;33515
2010;4;  5;Male;33578
2011;1;  5;Male;33361
2011;2;  5;Male;33497
2011;3;  5;Male;33660
2011;4;  5;Male;33936
2012;1;  5;Male;34137
2012;2;  5;Male;34026
2012;3;  5;Male;33748
2012;4;  5;Male;33396
2013;1;  5;Male;33629
2013;2;  5;Male;33862
2013;3;  5;Male;33983
2013;4;  5;Male;34447
2014;1;  5;Male;34421
2014;2;  5;Male;34225
2014;3;  5;Male;34143
2014;4;  5;Male;33527
2015;1;  5;Male;33171
2015;2;  5;Male;33301
2015;3;  5;Male;33453
2015;4;  5;Male;33508
2016;1;  5;Male;33643
2016;2;  5;Male;32949
2016;3;  5;Male;32435
2016;4;  5;Male;32016
2017;1;  5;Male;31315
2017;2;  5;Male;31229
2017;3;  5;Male;31072
2017;4;  5;Male;30930
