Kommune;Population;Year;Quarter
København;632340;2020;1
København;633449;2020;2
København;633035;2020;3
København;637936;2020;4
København;638117;2021;1
København;638678;2021;2
København;638790;2021;3
København;643613;2021;4
København;644431;2022;1
Frederiksberg;104305;2020;1
Frederiksberg;104294;2020;2
Frederiksberg;104118;2020;3
Frederiksberg;104351;2020;4
Frederiksberg;103677;2021;1
Frederiksberg;103284;2021;2
Frederiksberg;102940;2021;3
Frederiksberg;103782;2021;4
Frederiksberg;103608;2022;1
Dragør;14494;2020;1
Dragør;14508;2020;2
Dragør;14515;2020;3
Dragør;14497;2020;4
Dragør;14569;2021;1
Dragør;14575;2021;2
Dragør;14588;2021;3
Dragør;14616;2021;4
Dragør;14640;2022;1
Tårnby;42989;2020;1
Tårnby;42829;2020;2
Tårnby;42785;2020;3
Tårnby;42757;2020;4
Tårnby;42670;2021;1
Tårnby;42698;2021;2
Tårnby;42658;2021;3
Tårnby;42664;2021;4
Tårnby;42723;2022;1
Albertslund;27731;2020;1
Albertslund;27647;2020;2
Albertslund;27543;2020;3
Albertslund;27500;2020;4
Albertslund;27366;2021;1
Albertslund;27192;2021;2
Albertslund;27113;2021;3
Albertslund;27411;2021;4
Albertslund;27599;2022;1
Ballerup;48602;2020;1
Ballerup;48790;2020;2
Ballerup;48916;2020;3
Ballerup;48978;2020;4
Ballerup;49310;2021;1
Ballerup;49110;2021;2
Ballerup;49106;2021;3
Ballerup;49259;2021;4
Ballerup;49274;2022;1
Brøndby;35090;2020;1
Brøndby;35098;2020;2
Brøndby;35112;2020;3
Brøndby;35215;2020;4
Brøndby;35232;2021;1
Brøndby;35387;2021;2
Brøndby;35457;2021;3
Brøndby;35501;2021;4
Brøndby;35651;2022;1
Gentofte;74830;2020;1
Gentofte;74792;2020;2
Gentofte;74773;2020;3
Gentofte;74623;2020;4
Gentofte;74550;2021;1
Gentofte;74319;2021;2
Gentofte;74303;2021;3
Gentofte;74270;2021;4
Gentofte;74217;2022;1
Gladsaxe;69262;2020;1
Gladsaxe;69149;2020;2
Gladsaxe;69109;2020;3
Gladsaxe;69203;2020;4
Gladsaxe;69200;2021;1
Gladsaxe;69171;2021;2
Gladsaxe;68963;2021;3
Gladsaxe;69135;2021;4
Gladsaxe;69259;2022;1
Glostrup;23128;2020;1
Glostrup;23308;2020;2
Glostrup;23322;2020;3
Glostrup;23342;2020;4
Glostrup;23380;2021;1
Glostrup;23473;2021;2
Glostrup;23526;2021;3
Glostrup;23543;2021;4
Glostrup;23514;2022;1
Herlev;28953;2020;1
Herlev;28930;2020;2
Herlev;28933;2020;3
Herlev;28914;2020;4
Herlev;28913;2021;1
Herlev;28848;2021;2
Herlev;28835;2021;3
Herlev;28868;2021;4
Herlev;28867;2022;1
Hvidovre;53527;2020;1
Hvidovre;53472;2020;2
Hvidovre;53422;2020;3
Hvidovre;53448;2020;4
Hvidovre;53451;2021;1
Hvidovre;53329;2021;2
Hvidovre;53247;2021;3
Hvidovre;53277;2021;4
Hvidovre;53267;2022;1
Høje-Taastrup;50759;2020;1
Høje-Taastrup;50829;2020;2
Høje-Taastrup;50923;2020;3
Høje-Taastrup;51238;2020;4
Høje-Taastrup;51729;2021;1
Høje-Taastrup;52212;2021;2
Høje-Taastrup;52504;2021;3
Høje-Taastrup;52702;2021;4
Høje-Taastrup;53053;2022;1
Ishøj;22989;2020;1
Ishøj;22928;2020;2
Ishøj;23018;2020;3
Ishøj;23059;2020;4
Ishøj;23131;2021;1
Ishøj;23090;2021;2
Ishøj;23055;2021;3
Ishøj;23131;2021;4
Ishøj;23225;2022;1
Lyngby-Taarbæk;56214;2020;1
Lyngby-Taarbæk;56209;2020;2
Lyngby-Taarbæk;56046;2020;3
Lyngby-Taarbæk;56624;2020;4
Lyngby-Taarbæk;56614;2021;1
Lyngby-Taarbæk;56933;2021;2
Lyngby-Taarbæk;57072;2021;3
Lyngby-Taarbæk;57834;2021;4
Lyngby-Taarbæk;57826;2022;1
Rødovre;40652;2020;1
Rødovre;40634;2020;2
Rødovre;40848;2020;3
Rødovre;41025;2020;4
Rødovre;41113;2021;1
Rødovre;41195;2021;2
Rødovre;41217;2021;3
Rødovre;41219;2021;4
Rødovre;41382;2022;1
Vallensbæk;16633;2020;1
Vallensbæk;16565;2020;2
Vallensbæk;16510;2020;3
Vallensbæk;16483;2020;4
Vallensbæk;16515;2021;1
Vallensbæk;16545;2021;2
Vallensbæk;16540;2021;3
Vallensbæk;16501;2021;4
Vallensbæk;16488;2022;1
Allerød;25633;2020;1
Allerød;25633;2020;2
Allerød;25637;2020;3
Allerød;25871;2020;4
Allerød;25893;2021;1
Allerød;25878;2021;2
Allerød;25929;2021;3
Allerød;25882;2021;4
Allerød;25867;2022;1
Egedal;43354;2020;1
Egedal;43376;2020;2
Egedal;43424;2020;3
Egedal;43471;2020;4
Egedal;43696;2021;1
Egedal;43676;2021;2
Egedal;44109;2021;3
Egedal;44226;2021;4
Egedal;44375;2022;1
Fredensborg;40865;2020;1
Fredensborg;40866;2020;2
Fredensborg;40971;2020;3
Fredensborg;40980;2020;4
Fredensborg;40998;2021;1
Fredensborg;41047;2021;2
Fredensborg;41087;2021;3
Fredensborg;41152;2021;4
Fredensborg;41211;2022;1
Frederikssund;45223;2020;1
Frederikssund;45327;2020;2
Frederikssund;45425;2020;3
Frederikssund;45489;2020;4
Frederikssund;45439;2021;1
Frederikssund;45619;2021;2
Frederikssund;45807;2021;3
Frederikssund;45842;2021;4
Frederikssund;45800;2022;1
Furesø;40965;2020;1
Furesø;40973;2020;2
Furesø;41011;2020;3
Furesø;40955;2020;4
Furesø;41001;2021;1
Furesø;40950;2021;2
Furesø;41185;2021;3
Furesø;41360;2021;4
Furesø;41402;2022;1
Gribskov;41048;2020;1
Gribskov;41084;2020;2
Gribskov;41135;2020;3
Gribskov;41110;2020;4
Gribskov;40971;2021;1
Gribskov;41032;2021;2
Gribskov;41219;2021;3
Gribskov;41228;2021;4
Gribskov;41147;2022;1
Halsnæs;31384;2020;1
Halsnæs;31475;2020;2
Halsnæs;31537;2020;3
Halsnæs;31518;2020;4
Halsnæs;31420;2021;1
Halsnæs;31450;2021;2
Halsnæs;31438;2021;3
Halsnæs;31465;2021;4
Halsnæs;31344;2022;1
Helsingør;62695;2020;1
