Date;Region;Admitted
2020-03-01;Hovedstaden;  1
2020-03-01;Sjælland;  0
2020-03-01;Syddanmark;  0
2020-03-01;Midtjylland;  0
2020-03-01;Nordjylland;  0
2020-03-01;Ukendt_region;  0
2020-03-02;Hovedstaden;  0
2020-03-02;Sjælland;  0
2020-03-02;Syddanmark;  0
2020-03-02;Midtjylland;  0
2020-03-02;Nordjylland;  0
2020-03-02;Ukendt_region;  0
2020-03-03;Hovedstaden;  1
2020-03-03;Sjælland;  0
2020-03-03;Syddanmark;  0
2020-03-03;Midtjylland;  0
2020-03-03;Nordjylland;  0
2020-03-03;Ukendt_region;  0
2020-03-04;Hovedstaden;  0
2020-03-04;Sjælland;  0
2020-03-04;Syddanmark;  0
2020-03-04;Midtjylland;  0
2020-03-04;Nordjylland;  0
2020-03-04;Ukendt_region;  0
2020-03-05;Hovedstaden;  1
2020-03-05;Sjælland;  0
2020-03-05;Syddanmark;  0
2020-03-05;Midtjylland;  0
2020-03-05;Nordjylland;  0
2020-03-05;Ukendt_region;  0
2020-03-06;Hovedstaden;  3
2020-03-06;Sjælland;  1
2020-03-06;Syddanmark;  0
2020-03-06;Midtjylland;  0
2020-03-06;Nordjylland;  0
2020-03-06;Ukendt_region;  0
2020-03-07;Hovedstaden;  0
2020-03-07;Sjælland;  0
2020-03-07;Syddanmark;  0
2020-03-07;Midtjylland;  0
2020-03-07;Nordjylland;  0
2020-03-07;Ukendt_region;  0
2020-03-08;Hovedstaden;  3
2020-03-08;Sjælland;  0
2020-03-08;Syddanmark;  0
2020-03-08;Midtjylland;  0
2020-03-08;Nordjylland;  0
2020-03-08;Ukendt_region;  0
2020-03-09;Hovedstaden;  3
2020-03-09;Sjælland;  6
2020-03-09;Syddanmark;  0
2020-03-09;Midtjylland;  0
2020-03-09;Nordjylland;  0
2020-03-09;Ukendt_region;  0
2020-03-10;Hovedstaden;  6
2020-03-10;Sjælland;  5
2020-03-10;Syddanmark;  1
2020-03-10;Midtjylland;  3
2020-03-10;Nordjylland;  0
2020-03-10;Ukendt_region;  0
2020-03-11;Hovedstaden;  4
2020-03-11;Sjælland;  4
2020-03-11;Syddanmark;  2
2020-03-11;Midtjylland;  0
2020-03-11;Nordjylland;  0
2020-03-11;Ukendt_region;  0
2020-03-12;Hovedstaden;  3
2020-03-12;Sjælland;  6
2020-03-12;Syddanmark;  1
2020-03-12;Midtjylland;  7
2020-03-12;Nordjylland;  1
2020-03-12;Ukendt_region;  0
2020-03-13;Hovedstaden; 13
2020-03-13;Sjælland;  2
2020-03-13;Syddanmark;  3
2020-03-13;Midtjylland;  7
2020-03-13;Nordjylland;  1
2020-03-13;Ukendt_region;  0
2020-03-14;Hovedstaden;  9
2020-03-14;Sjælland;  6
2020-03-14;Syddanmark;  3
2020-03-14;Midtjylland;  3
2020-03-14;Nordjylland;  3
2020-03-14;Ukendt_region;  0
2020-03-15;Hovedstaden; 18
2020-03-15;Sjælland;  5
2020-03-15;Syddanmark;  3
2020-03-15;Midtjylland;  4
2020-03-15;Nordjylland;  3
2020-03-15;Ukendt_region;  0
2020-03-16;Hovedstaden; 23
2020-03-16;Sjælland; 12
2020-03-16;Syddanmark;  5
2020-03-16;Midtjylland;  3
2020-03-16;Nordjylland;  2
2020-03-16;Ukendt_region;  0
2020-03-17;Hovedstaden; 25
2020-03-17;Sjælland;  8
2020-03-17;Syddanmark;  5
2020-03-17;Midtjylland;  6
2020-03-17;Nordjylland;  3
2020-03-17;Ukendt_region;  0
2020-03-18;Hovedstaden; 21
2020-03-18;Sjælland; 13
2020-03-18;Syddanmark;  5
2020-03-18;Midtjylland;  4
2020-03-18;Nordjylland;  4
2020-03-18;Ukendt_region;  0
2020-03-19;Hovedstaden; 29
2020-03-19;Sjælland;  6
2020-03-19;Syddanmark;  6
2020-03-19;Midtjylland;  4
2020-03-19;Nordjylland;  5
2020-03-19;Ukendt_region;  0
2020-03-20;Hovedstaden; 33
2020-03-20;Sjælland; 14
2020-03-20;Syddanmark; 10
2020-03-20;Midtjylland;  5
2020-03-20;Nordjylland;  2
2020-03-20;Ukendt_region;  0
2020-03-21;Hovedstaden; 14
2020-03-21;Sjælland; 10
2020-03-21;Syddanmark;  4
2020-03-21;Midtjylland;  4
2020-03-21;Nordjylland;  2
2020-03-21;Ukendt_region;  0
2020-03-22;Hovedstaden; 22
2020-03-22;Sjælland;  7
2020-03-22;Syddanmark;  3
2020-03-22;Midtjylland;  7
2020-03-22;Nordjylland;  3
2020-03-22;Ukendt_region;  0
2020-03-23;Hovedstaden; 43
2020-03-23;Sjælland; 11
2020-03-23;Syddanmark; 10
2020-03-23;Midtjylland; 16
2020-03-23;Nordjylland;  5
2020-03-23;Ukendt_region;  0
2020-03-24;Hovedstaden; 37
2020-03-24;Sjælland; 11
2020-03-24;Syddanmark; 12
2020-03-24;Midtjylland; 14
2020-03-24;Nordjylland;  6
2020-03-24;Ukendt_region;  1
2020-03-25;Hovedstaden; 40
2020-03-25;Sjælland; 18
2020-03-25;Syddanmark; 12
2020-03-25;Midtjylland; 14
2020-03-25;Nordjylland;  6
2020-03-25;Ukendt_region;  0
2020-03-26;Hovedstaden; 41
2020-03-26;Sjælland; 11
2020-03-26;Syddanmark;  7
2020-03-26;Midtjylland; 12
2020-03-26;Nordjylland;  7
2020-03-26;Ukendt_region;  1
2020-03-27;Hovedstaden; 38
2020-03-27;Sjælland; 15
2020-03-27;Syddanmark; 18
2020-03-27;Midtjylland; 11
2020-03-27;Nordjylland;  5
2020-03-27;Ukendt_region;  0
2020-03-28;Hovedstaden; 31
2020-03-28;Sjælland; 21
2020-03-28;Syddanmark; 16
2020-03-28;Midtjylland; 10
2020-03-28;Nordjylland;  5
2020-03-28;Ukendt_region;  0
2020-03-29;Hovedstaden; 25
2020-03-29;Sjælland;  9
2020-03-29;Syddanmark;  9
2020-03-29;Midtjylland;  4
2020-03-29;Nordjylland;  4
2020-03-29;Ukendt_region;  1
2020-03-30;Hovedstaden; 39
2020-03-30;Sjælland; 13
2020-03-30;Syddanmark;  4
2020-03-30;Midtjylland; 11
2020-03-30;Nordjylland;  1
2020-03-30;Ukendt_region;  1
2020-03-31;Hovedstaden; 28
2020-03-31;Sjælland;  8
2020-03-31;Syddanmark;  4
2020-03-31;Midtjylland;  9
2020-03-31;Nordjylland;  2
2020-03-31;Ukendt_region;  0
2020-04-01;Hovedstaden; 29
2020-04-01;Sjælland;  8
