Date;Year;Age;Sex;Population;Daily_deaths
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 1
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 2
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 2
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 3
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 0
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 2
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 3
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 2
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M01;Male;NA; 1
NA;NA;2020M01;Female;NA; 0
NA;NA;2020M02;Male;NA; 2
NA;NA;2020M02;Female;NA; 0
NA;NA;2020M02;Male;NA; 1
NA;NA;2020M02;Female;NA; 0
