Date;Kommune;Tested;Positive;Year;Quarter;Population
2020-03-01;København;9;1;2020;1;632340
2020-03-01;Frederiksberg;2;0;2020;1;104305
2020-03-01;Dragør;0;0;2020;1;14494
2020-03-01;Tårnby;0;0;2020;1;42989
2020-03-01;Albertslund;0;0;2020;1;27731
2020-03-01;Ballerup;0;0;2020;1;48602
2020-03-01;Brøndby;0;0;2020;1;35090
2020-03-01;Gentofte;0;0;2020;1;74830
2020-03-01;Gladsaxe;0;0;2020;1;69262
2020-03-01;Glostrup;1;0;2020;1;23128
2020-03-01;Herlev;0;0;2020;1;28953
2020-03-01;Hvidovre;0;0;2020;1;53527
2020-03-01;Høje-Taastrup;0;0;2020;1;50759
2020-03-01;Ishøj;0;0;2020;1;22989
2020-03-01;Lyngby-Taarbæk;1;0;2020;1;56214
2020-03-01;Rødovre;1;0;2020;1;40652
2020-03-01;Vallensbæk;0;0;2020;1;16633
2020-03-01;Allerød;0;0;2020;1;25633
2020-03-01;Egedal;1;0;2020;1;43354
2020-03-01;Fredensborg;0;0;2020;1;40865
2020-03-01;Frederikssund;0;0;2020;1;45223
2020-03-01;Furesø;0;0;2020;1;40965
2020-03-01;Gribskov;0;0;2020;1;41048
2020-03-01;Halsnæs;0;0;2020;1;31384
2020-03-01;Helsingør;1;0;2020;1;62695
2020-03-01;Hillerød;0;0;2020;1;51183
2020-03-01;Hørsholm;0;0;2020;1;24864
2020-03-01;Rudersdal;1;0;2020;1;56728
2020-03-01;Bornholm;2;0;2020;1;39499
2020-03-01;Christiansø;0;0;2020;1;84
2020-03-01;Greve;0;0;2020;1;50558
2020-03-01;Køge;0;0;2020;1;60979
2020-03-01;Lejre;0;0;2020;1;27996
2020-03-01;Roskilde;1;0;2020;1;87914
2020-03-01;Solrød;0;0;2020;1;23255
2020-03-01;Faxe;0;0;2020;1;36576
2020-03-01;Guldborgsund;0;0;2020;1;60722
2020-03-01;Holbæk;1;0;2020;1;71541
2020-03-01;Kalundborg;0;0;2020;1;48436
2020-03-01;Lolland;0;0;2020;1;41105
2020-03-01;Næstved;0;0;2020;1;83143
2020-03-01;Odsherred;0;0;2020;1;32957
2020-03-01;Ringsted;0;0;2020;1;34852
2020-03-01;Slagelse;1;0;2020;1;79073
2020-03-01;Sorø;1;0;2020;1;29881
2020-03-01;Stevns;0;0;2020;1;22805
2020-03-01;Vordingborg;0;0;2020;1;45566
2020-03-01;Assens;0;0;2020;1;40965
2020-03-01;Faaborg-Midtfyn;0;0;2020;1;51556
2020-03-01;Kerteminde;0;0;2020;1;23812
2020-03-01;Langeland;0;0;2020;1;12491
2020-03-01;Middelfart;0;0;2020;1;38853
2020-03-01;Nordfyns;0;0;2020;1;29665
2020-03-01;Nyborg;0;0;2020;1;32009
2020-03-01;Odense;2;0;2020;1;204895
2020-03-01;Svendborg;0;0;2020;1;58296
2020-03-01;Ærø;0;0;2020;1;5964
2020-03-01;Billund;0;0;2020;1;26608
2020-03-01;Esbjerg;0;0;2020;1;115483
2020-03-01;Fanø;0;0;2020;1;3488
2020-03-01;Fredericia;0;0;2020;1;51377
2020-03-01;Haderslev;0;0;2020;1;55670
2020-03-01;Kolding;1;0;2020;1;93175
2020-03-01;Sønderborg;0;0;2020;1;74220
2020-03-01;Tønder;0;0;2020;1;37366
2020-03-01;Varde;0;0;2020;1;49961
2020-03-01;Vejen;0;0;2020;1;42742
2020-03-01;Vejle;0;0;2020;1;115748
2020-03-01;Aabenraa;0;0;2020;1;58761
2020-03-01;Favrskov;2;0;2020;1;48397
2020-03-01;Hedensted;0;0;2020;1;46722
2020-03-01;Horsens;0;0;2020;1;90966
2020-03-01;Norddjurs;0;0;2020;1;37089
2020-03-01;Odder;0;0;2020;1;22844
2020-03-01;Randers;0;0;2020;1;97805
2020-03-01;Samsø;0;0;2020;1;3657
2020-03-01;Silkeborg;2;0;2020;1;94026
2020-03-01;Skanderborg;0;0;2020;1;62678
2020-03-01;Syddjurs;0;0;2020;1;42962
2020-03-01;Aarhus;11;0;2020;1;349983
2020-03-01;Herning;1;0;2020;1;89127
2020-03-01;Holstebro;0;0;2020;1;58591
2020-03-01;Ikast-Brande;0;0;2020;1;41369
2020-03-01;Lemvig;0;0;2020;1;19722
2020-03-01;Ringkøbing-Skjern;0;0;2020;1;56594
2020-03-01;Skive;1;0;2020;1;45851
2020-03-01;Struer;0;0;2020;1;21036
2020-03-01;Viborg;2;0;2020;1;96921
2020-03-01;Brønderslev;1;0;2020;1;36304
2020-03-01;Frederikshavn;0;0;2020;1;59654
2020-03-01;Hjørring;0;0;2020;1;64483
2020-03-01;Jammerbugt;0;0;2020;1;38324
2020-03-01;Læsø;0;0;2020;1;1786
2020-03-01;Mariagerfjord;0;0;2020;1;41800
2020-03-01;Morsø;0;0;2020;1;20247
2020-03-01;Rebild;1;0;2020;1;30113
2020-03-01;Thisted;0;0;2020;1;43423
2020-03-01;Vesthimmerlands;0;0;2020;1;36727
2020-03-01;Aalborg;1;0;2020;1;217075
2020-03-02;København;10;1;2020;1;632340
2020-03-02;Frederiksberg;2;1;2020;1;104305
2020-03-02;Dragør;1;0;2020;1;14494
2020-03-02;Tårnby;0;0;2020;1;42989
2020-03-02;Albertslund;0;0;2020;1;27731
2020-03-02;Ballerup;0;0;2020;1;48602
2020-03-02;Brøndby;0;0;2020;1;35090
2020-03-02;Gentofte;5;0;2020;1;74830
2020-03-02;Gladsaxe;0;0;2020;1;69262
2020-03-02;Glostrup;0;0;2020;1;23128
2020-03-02;Herlev;0;0;2020;1;28953
2020-03-02;Hvidovre;0;0;2020;1;53527
2020-03-02;Høje-Taastrup;0;0;2020;1;50759
2020-03-02;Ishøj;0;0;2020;1;22989
2020-03-02;Lyngby-Taarbæk;1;0;2020;1;56214
2020-03-02;Rødovre;0;0;2020;1;40652
2020-03-02;Vallensbæk;0;0;2020;1;16633
2020-03-02;Allerød;0;0;2020;1;25633
2020-03-02;Egedal;0;0;2020;1;43354
2020-03-02;Fredensborg;1;0;2020;1;40865
2020-03-02;Frederikssund;0;0;2020;1;45223
2020-03-02;Furesø;0;0;2020;1;40965
2020-03-02;Gribskov;0;0;2020;1;41048
2020-03-02;Halsnæs;0;0;2020;1;31384
2020-03-02;Helsingør;0;0;2020;1;62695
2020-03-02;Hillerød;0;0;2020;1;51183
2020-03-02;Hørsholm;0;0;2020;1;24864
2020-03-02;Rudersdal;6;0;2020;1;56728
2020-03-02;Bornholm;0;0;2020;1;39499
2020-03-02;Christiansø;0;0;2020;1;84
2020-03-02;Greve;2;0;2020;1;50558
2020-03-02;Køge;0;0;2020;1;60979
2020-03-02;Lejre;1;0;2020;1;27996
2020-03-02;Roskilde;0;0;2020;1;87914
2020-03-02;Solrød;1;0;2020;1;23255
2020-03-02;Faxe;3;0;2020;1;36576
2020-03-02;Guldborgsund;1;0;2020;1;60722
2020-03-02;Holbæk;1;0;2020;1;71541
2020-03-02;Kalundborg;1;1;2020;1;48436
2020-03-02;Lolland;0;0;2020;1;41105
2020-03-02;Næstved;1;0;2020;1;83143
2020-03-02;Odsherred;0;0;2020;1;32957
2020-03-02;Ringsted;0;0;2020;1;34852
2020-03-02;Slagelse;3;0;2020;1;79073
2020-03-02;Sorø;0;0;2020;1;29881
2020-03-02;Stevns;0;0;2020;1;22805
2020-03-02;Vordingborg;0;0;2020;1;45566
2020-03-02;Assens;1;0;2020;1;40965
2020-03-02;Faaborg-Midtfyn;0;0;2020;1;51556
2020-03-02;Kerteminde;0;0;2020;1;23812
2020-03-02;Langeland;0;0;2020;1;12491
2020-03-02;Middelfart;1;1;2020;1;38853
2020-03-02;Nordfyns;0;0;2020;1;29665
2020-03-02;Nyborg;0;0;2020;1;32009
2020-03-02;Odense;1;0;2020;1;204895
2020-03-02;Svendborg;1;0;2020;1;58296
2020-03-02;Ærø;0;0;2020;1;5964
2020-03-02;Billund;0;0;2020;1;26608
2020-03-02;Esbjerg;1;0;2020;1;115483
2020-03-02;Fanø;0;0;2020;1;3488
2020-03-02;Fredericia;0;0;2020;1;51377
2020-03-02;Haderslev;0;0;2020;1;55670
2020-03-02;Kolding;0;0;2020;1;93175
2020-03-02;Sønderborg;2;0;2020;1;74220
2020-03-02;Tønder;0;0;2020;1;37366
2020-03-02;Varde;0;0;2020;1;49961
2020-03-02;Vejen;0;0;2020;1;42742
2020-03-02;Vejle;0;0;2020;1;115748
2020-03-02;Aabenraa;0;0;2020;1;58761
2020-03-02;Favrskov;0;0;2020;1;48397
2020-03-02;Hedensted;1;0;2020;1;46722
2020-03-02;Horsens;4;0;2020;1;90966
2020-03-02;Norddjurs;0;0;2020;1;37089
2020-03-02;Odder;0;0;2020;1;22844
2020-03-02;Randers;0;0;2020;1;97805
2020-03-02;Samsø;0;0;2020;1;3657
2020-03-02;Silkeborg;1;0;2020;1;94026
2020-03-02;Skanderborg;0;0;2020;1;62678
2020-03-02;Syddjurs;0;0;2020;1;42962
2020-03-02;Aarhus;17;0;2020;1;349983
2020-03-02;Herning;0;0;2020;1;89127
2020-03-02;Holstebro;0;0;2020;1;58591
2020-03-02;Ikast-Brande;0;0;2020;1;41369
2020-03-02;Lemvig;1;0;2020;1;19722
2020-03-02;Ringkøbing-Skjern;0;0;2020;1;56594
2020-03-02;Skive;0;0;2020;1;45851
2020-03-02;Struer;0;0;2020;1;21036
2020-03-02;Viborg;1;0;2020;1;96921
2020-03-02;Brønderslev;0;0;2020;1;36304
2020-03-02;Frederikshavn;1;0;2020;1;59654
2020-03-02;Hjørring;1;0;2020;1;64483
2020-03-02;Jammerbugt;0;0;2020;1;38324
2020-03-02;Læsø;0;0;2020;1;1786
2020-03-02;Mariagerfjord;0;0;2020;1;41800
2020-03-02;Morsø;0;0;2020;1;20247
2020-03-02;Rebild;0;0;2020;1;30113
2020-03-02;Thisted;0;0;2020;1;43423
2020-03-02;Vesthimmerlands;0;0;2020;1;36727
2020-03-02;Aalborg;4;0;2020;1;217075
2020-03-03;København;12;4;2020;1;632340
2020-03-03;Frederiksberg;2;0;2020;1;104305
2020-03-03;Dragør;0;0;2020;1;14494
2020-03-03;Tårnby;0;0;2020;1;42989
2020-03-03;Albertslund;0;0;2020;1;27731
2020-03-03;Ballerup;2;0;2020;1;48602
2020-03-03;Brøndby;1;0;2020;1;35090
2020-03-03;Gentofte;1;0;2020;1;74830
2020-03-03;Gladsaxe;0;0;2020;1;69262
2020-03-03;Glostrup;0;0;2020;1;23128
2020-03-03;Herlev;1;0;2020;1;28953
2020-03-03;Hvidovre;0;0;2020;1;53527
2020-03-03;Høje-Taastrup;0;0;2020;1;50759
2020-03-03;Ishøj;0;0;2020;1;22989
2020-03-03;Lyngby-Taarbæk;0;0;2020;1;56214
2020-03-03;Rødovre;0;0;2020;1;40652
2020-03-03;Vallensbæk;0;0;2020;1;16633
2020-03-03;Allerød;1;0;2020;1;25633
2020-03-03;Egedal;1;0;2020;1;43354
2020-03-03;Fredensborg;1;0;2020;1;40865
2020-03-03;Frederikssund;1;0;2020;1;45223
2020-03-03;Furesø;0;0;2020;1;40965
2020-03-03;Gribskov;1;0;2020;1;41048
2020-03-03;Halsnæs;0;0;2020;1;31384
2020-03-03;Helsingør;1;0;2020;1;62695
2020-03-03;Hillerød;1;0;2020;1;51183
2020-03-03;Hørsholm;1;0;2020;1;24864
2020-03-03;Rudersdal;1;0;2020;1;56728
2020-03-03;Bornholm;0;0;2020;1;39499
2020-03-03;Christiansø;0;0;2020;1;84
2020-03-03;Greve;1;0;2020;1;50558
2020-03-03;Køge;0;0;2020;1;60979
2020-03-03;Lejre;0;0;2020;1;27996
2020-03-03;Roskilde;2;0;2020;1;87914
2020-03-03;Solrød;0;0;2020;1;23255
2020-03-03;Faxe;0;0;2020;1;36576
2020-03-03;Guldborgsund;2;0;2020;1;60722
2020-03-03;Holbæk;0;0;2020;1;71541
2020-03-03;Kalundborg;0;0;2020;1;48436
2020-03-03;Lolland;0;0;2020;1;41105
2020-03-03;Næstved;1;0;2020;1;83143
2020-03-03;Odsherred;0;0;2020;1;32957
2020-03-03;Ringsted;0;0;2020;1;34852
2020-03-03;Slagelse;1;0;2020;1;79073
2020-03-03;Sorø;0;0;2020;1;29881
2020-03-03;Stevns;0;0;2020;1;22805
2020-03-03;Vordingborg;0;0;2020;1;45566
2020-03-03;Assens;0;0;2020;1;40965
2020-03-03;Faaborg-Midtfyn;0;0;2020;1;51556
2020-03-03;Kerteminde;0;0;2020;1;23812
2020-03-03;Langeland;0;0;2020;1;12491
2020-03-03;Middelfart;0;0;2020;1;38853
2020-03-03;Nordfyns;0;0;2020;1;29665
2020-03-03;Nyborg;0;0;2020;1;32009
2020-03-03;Odense;2;0;2020;1;204895
2020-03-03;Svendborg;0;0;2020;1;58296
2020-03-03;Ærø;0;0;2020;1;5964
2020-03-03;Billund;0;0;2020;1;26608
2020-03-03;Esbjerg;0;0;2020;1;115483
2020-03-03;Fanø;0;0;2020;1;3488
2020-03-03;Fredericia;0;0;2020;1;51377
2020-03-03;Haderslev;0;0;2020;1;55670
2020-03-03;Kolding;1;0;2020;1;93175
2020-03-03;Sønderborg;0;0;2020;1;74220
2020-03-03;Tønder;0;0;2020;1;37366
2020-03-03;Varde;0;0;2020;1;49961
2020-03-03;Vejen;0;0;2020;1;42742
2020-03-03;Vejle;0;0;2020;1;115748
2020-03-03;Aabenraa;0;0;2020;1;58761
2020-03-03;Favrskov;1;0;2020;1;48397
2020-03-03;Hedensted;1;0;2020;1;46722
2020-03-03;Horsens;0;0;2020;1;90966
2020-03-03;Norddjurs;0;0;2020;1;37089
2020-03-03;Odder;1;0;2020;1;22844
2020-03-03;Randers;0;0;2020;1;97805
2020-03-03;Samsø;0;0;2020;1;3657
2020-03-03;Silkeborg;2;0;2020;1;94026
2020-03-03;Skanderborg;4;0;2020;1;62678
2020-03-03;Syddjurs;1;0;2020;1;42962
2020-03-03;Aarhus;6;0;2020;1;349983
2020-03-03;Herning;0;0;2020;1;89127
2020-03-03;Holstebro;2;0;2020;1;58591
2020-03-03;Ikast-Brande;1;0;2020;1;41369
2020-03-03;Lemvig;0;0;2020;1;19722
2020-03-03;Ringkøbing-Skjern;0;0;2020;1;56594
2020-03-03;Skive;0;0;2020;1;45851
2020-03-03;Struer;0;0;2020;1;21036
2020-03-03;Viborg;0;0;2020;1;96921
2020-03-03;Brønderslev;0;0;2020;1;36304
2020-03-03;Frederikshavn;0;0;2020;1;59654
2020-03-03;Hjørring;1;0;2020;1;64483
2020-03-03;Jammerbugt;0;0;2020;1;38324
2020-03-03;Læsø;0;0;2020;1;1786
2020-03-03;Mariagerfjord;1;0;2020;1;41800
2020-03-03;Morsø;0;0;2020;1;20247
2020-03-03;Rebild;0;0;2020;1;30113
2020-03-03;Thisted;0;0;2020;1;43423
2020-03-03;Vesthimmerlands;0;0;2020;1;36727
2020-03-03;Aalborg;1;0;2020;1;217075
2020-03-04;København;12;1;2020;1;632340
2020-03-04;Frederiksberg;3;0;2020;1;104305
2020-03-04;Dragør;1;0;2020;1;14494
2020-03-04;Tårnby;0;0;2020;1;42989
2020-03-04;Albertslund;0;0;2020;1;27731
2020-03-04;Ballerup;0;0;2020;1;48602
2020-03-04;Brøndby;0;0;2020;1;35090
2020-03-04;Gentofte;2;1;2020;1;74830
2020-03-04;Gladsaxe;1;0;2020;1;69262
2020-03-04;Glostrup;0;0;2020;1;23128
2020-03-04;Herlev;0;0;2020;1;28953
2020-03-04;Hvidovre;1;0;2020;1;53527
2020-03-04;Høje-Taastrup;0;0;2020;1;50759
2020-03-04;Ishøj;0;0;2020;1;22989
2020-03-04;Lyngby-Taarbæk;2;0;2020;1;56214
2020-03-04;Rødovre;1;0;2020;1;40652
2020-03-04;Vallensbæk;0;0;2020;1;16633
2020-03-04;Allerød;2;0;2020;1;25633
2020-03-04;Egedal;1;0;2020;1;43354
2020-03-04;Fredensborg;1;0;2020;1;40865
2020-03-04;Frederikssund;1;0;2020;1;45223
2020-03-04;Furesø;1;0;2020;1;40965
2020-03-04;Gribskov;1;0;2020;1;41048
2020-03-04;Halsnæs;0;0;2020;1;31384
2020-03-04;Helsingør;0;0;2020;1;62695
2020-03-04;Hillerød;0;0;2020;1;51183
2020-03-04;Hørsholm;0;0;2020;1;24864
2020-03-04;Rudersdal;2;0;2020;1;56728
2020-03-04;Bornholm;0;0;2020;1;39499
2020-03-04;Christiansø;0;0;2020;1;84
2020-03-04;Greve;1;0;2020;1;50558
2020-03-04;Køge;0;0;2020;1;60979
2020-03-04;Lejre;1;0;2020;1;27996
2020-03-04;Roskilde;6;0;2020;1;87914
2020-03-04;Solrød;2;1;2020;1;23255
2020-03-04;Faxe;0;0;2020;1;36576
2020-03-04;Guldborgsund;0;0;2020;1;60722
2020-03-04;Holbæk;0;0;2020;1;71541
2020-03-04;Kalundborg;0;0;2020;1;48436
2020-03-04;Lolland;0;0;2020;1;41105
2020-03-04;Næstved;1;0;2020;1;83143
2020-03-04;Odsherred;1;0;2020;1;32957
2020-03-04;Ringsted;0;0;2020;1;34852
2020-03-04;Slagelse;4;0;2020;1;79073
2020-03-04;Sorø;0;0;2020;1;29881
2020-03-04;Stevns;0;0;2020;1;22805
2020-03-04;Vordingborg;0;0;2020;1;45566
2020-03-04;Assens;0;0;2020;1;40965
2020-03-04;Faaborg-Midtfyn;1;0;2020;1;51556
2020-03-04;Kerteminde;0;0;2020;1;23812
2020-03-04;Langeland;0;0;2020;1;12491
2020-03-04;Middelfart;0;0;2020;1;38853
