Date;pct_confirmed;running_avg_pct;wday;ratio
2020-08-06;0,6512464;0,5287428;Tor;1,2316885
2020-08-07;0,5304548;0,5302299;Fre;1,0004240
2020-08-08;0,4348666;0,5182253;Lør;0,8391458
2020-08-09;0,6236208;0,5165582;Søn;1,2072615
2020-08-10;0,5030834;0,4727841;Man;1,0640870
2020-08-11;0,4072100;0,4463876;Tir;0,9122342
2020-08-12;0,4654255;0,4564770;Ons;1,0196034
2020-08-13;0,3448276;0,4178164;Tor;0,8253089
2020-08-14;0,3456790;0,3846577;Fre;0,8986667
2020-08-15;0,5054928;0,3696086;Lør;1,3676433
2020-08-16;0,3529965;0,3350603;Søn;1,0535315
2020-08-17;0,2709721;0,3186373;Man;0,8504092
2020-08-18;0,3018668;0,3042164;Tir;0,9922766
2020-08-19;0,2235872;0,2766695;Ons;0,8081380
2020-08-20;0,2298668;0,2653176;Tor;0,8663837
2020-08-21;0,2447326;0,2539746;Fre;0,9636108
2020-08-22;0,3126647;0,2401114;Lør;1,3021650
2020-08-23;0,2735330;0,2368242;Søn;1,1550042
2020-08-24;0,1915709;0,2303682;Man;0,8315857
2020-08-25;0,2048248;0,2395618;Tir;0,8549975
2020-08-26;0,2005767;0,2456248;Ons;0,8165979
2020-08-27;0,1846746;0,2656274;Tor;0,6952392
2020-08-28;0,3090883;0,2821003;Fre;1,0956683
2020-08-29;0,3551051;0,3263924;Lør;1,0879699
2020-08-30;0,4135518;0,3547595;Søn;1,1657242
2020-08-31;0,3068807;0,4001389;Man;0,7669354
2020-09-01;0,5148697;0,4293261;Tir;1,1992510
2020-09-02;0,3991465;0,4782049;Ons;0,8346767
2020-09-03;0,5023304;0,5272525;Tor;0,9527322
2020-09-04;0,5133984;0,5726286;Fre;0,8965645
2020-09-05;0,6972568;0,5967929;Lør;1,1683395
2020-09-06;0,7568846;0,6258996;Søn;1,2092748
2020-09-07;0,6245137;0,6563698;Man;0,9514662
2020-09-08;0,6840201;0,6818569;Tir;1,0031726
2020-09-09;0,6028931;0,6870789;Ons;0,8774728
2020-09-10;0,7156222;0,6804960;Tor;1,0516185
2020-09-11;0,6918076;0,6897254;Fre;1,0030189
2020-09-12;0,7338112;0,7042085;Lør;1,0420369
2020-09-13;0,7108037;0,7599180;Søn;0,9353690
2020-09-14;0,6891202;0,8002892;Man;0,8610890
2020-09-15;0,7854012;0,8347906;Tir;0,9408362
2020-09-16;0,9928599;0,8811339;Ons;1,1267980
2020-09-17;0,9982202;0,9238127;Tor;1,0805440
2020-09-18;0,9333177;0,9676798;Fre;0,9644902
2020-09-19;1,0582144;1,0056149;Lør;1,0523058
2020-09-20;1,0095552;1,0328671;Søn;0,9774299
2020-09-21;0,9961899;1,0524379;Man;0,9465546
2020-09-22;1,0509469;1,0554193;Tir;0,9957625
2020-09-23;1,1836253;1,0474664;Ons;1,1299888
2020-09-24;1,1352160;1,0330946;Tor;1,0988500
2020-09-25;0,9541873;1,0199193;Fre;0,9355517
2020-09-26;1,0025445;0,9978752;Lør;1,0046793
2020-09-27;0,9089520;0,9611506;Søn;0,9456916
2020-09-28;0,9039632;0,9395389;Man;0,9621350
2020-09-29;0,8966381;0,9264282;Tir;0,9678441
2020-09-30;0,9265527;0,9285819;Ons;0,9978147
2020-10-01;0,9839344;0,9316319;Tor;1,0561407
2020-10-02;0,8624124;0,9214709;Fre;0,9359084
2020-10-03;1,0176207;0,9092440;Lør;1,1191943
2020-10-04;0,9303017;0,9071267;Søn;1,0255477
2020-10-05;0,8328365;0,8933395;Man;0,9322732
2020-10-06;0,8110498;0,9203911;Tir;0,8812013
2020-10-07;0,9117315;0,9266484;Ons;0,9839023
2020-10-08;0,8874239;0,9311315;Tor;0,9530597
2020-10-09;1,0517738;0,9768214;Fre;1,0767309
2020-10-10;1,0614214;1,0339434;Lør;1,0265760
2020-10-11;0,9616835;1,0970674;Søn;0,8765947
2020-10-12;1,1526659;1,1566939;Man;0,9965176
2020-10-13;1,2109037;1,2053271;Tir;1,0046267
2020-10-14;1,3535997;1,2848852;Ons;1,0534791
2020-10-15;1,3048092;1,3662921;Tor;0,9550002
2020-10-16;1,3922060;1,4117448;Fre;0,9861598
2020-10-17;1,6183286;1,4950191;Lør;1,0824802
2020-10-18;1,5315315;1,5640949;Søn;0,9791807
2020-10-19;1,4708347;1,6342865;Man;0,8999859
2020-10-20;1,7938238;1,6812912;Tir;1,0669322
2020-10-21;1,8371305;1,7080004;Ons;1,0756031
2020-10-22;1,7961502;1,7446787;Tor;1,0295020
2020-10-23;1,7212393;1,7556898;Fre;0,9803778
2020-10-24;1,8052926;NA;Lør;NA
2020-10-25;1,7882801;NA;Søn;NA
2020-10-26;1,5479123;NA;Man;NA
